,Date,User,Tweets,Url
0,2022-05-31 18:07:07+00:00,https://twitter.com/blacksquare_art,"When you enter the Blacksquare, free yourself from any prejudices.

The Blacksquare stands against any kind of discrimination, racism, war, oppression. 

We are Blacksquare!

⬛️OBEY YOURSELF⬛️

#Blacksquare #NFT #Peace #NoToWar #Notoracism #Equality",https://twitter.com/blacksquare_art/status/1531698806810632196
1,2022-05-31 07:33:08+00:00,https://twitter.com/rsrytiz,"Hey @DeadRareNFT 
Why do you relist your project to the ""New Listings"" section from time to time?

Is this some kind of a new level of ""transparency"" &amp; equality within the projects that list on your #NFT marketplace?

#Elrond #EGLD #ElrondCommunity #ElrondNetwork #ElrondNFT https://t.co/4lcHBJnI5e",https://twitter.com/rsrytiz/status/1531539258292457472
2,2022-05-31 02:03:42+00:00,https://twitter.com/GrootKkw,"What if, I could launch a #DeFi project what is 100% based on equality and not on who's got the most money or is the biggest #Degen in the Space.

Would you like to invest into it?

Like and Retweet = Yes
Comment = No, and I would like to know why

#NFT #NFTCommunity #ETH #BTC",https://twitter.com/GrootKkw/status/1531456355206410241
3,2022-05-30 14:30:36+00:00,https://twitter.com/chemicalbrodar,"@ZeninNFT Hi, please check @TheEqualsDao

We are all for equality in our community and the NFT space and would love to collaborate with your project. ❤️🤝",https://twitter.com/chemicalbrodar/status/1531281930737618944
4,2022-05-30 14:03:00+00:00,https://twitter.com/fepz_,"@ZeninNFT I am a Co-founder of @TheEqualsDao

We are all for equality in our community and the NFT space and would love to collaborate with your project",https://twitter.com/fepz_/status/1531274983288229890
5,2022-05-30 07:23:37+00:00,https://twitter.com/binkalogi,"Who said ancient doesn't inderstand equality?
check in https://t.co/pMKgEcB1VD

#nfts #nft #nftgame #nftcollector #nftcollectibles #binkalogi #Cultureart #cryptocurrency #pixelartnft #pixelart https://t.co/kVaUxDfpao",https://twitter.com/binkalogi/status/1531174477186232320
6,2022-05-30 03:44:48+00:00,https://twitter.com/kipheo_art,"Wow just was checking my collection and found I won this profound work by amazing artist @Yashika__Kalra who contributed to a collection for @ArielIndia 

Thank you so much to @coi_nft and to all involved in raising awareness on equality and promoting healthy relationships 💕💕 https://t.co/XODILNeUS4",https://twitter.com/kipheo_art/status/1531119409821102080
7,2022-05-28 18:00:31+00:00,https://twitter.com/WWCreatives,"Art curator Tina Ziegler says #NFTs are the future of art.

Check here How #NFTs are “revolutionizing” equality in the #art world.
👉https://t.co/A92cULtObv
#NFT #NFTs #Cryptocurrency #NFTCommunity #NFTWomen #NFTArt https://t.co/GdvfyBUTLJ",https://twitter.com/WWCreatives/status/1530609981355134977
8,2022-05-28 16:43:24+00:00,https://twitter.com/max_maxster,"new day, new #NFT: Equality 05 (https://t.co/adqsz55Z31)

editions: 69

price: .69 tezos.

all unsold editions will be burned in 2 hours, so be fast!

ps. 1 copy will be gifted to a random person who RTs this.",https://twitter.com/max_maxster/status/1530590573626793986
9,2022-05-28 09:12:22+00:00,https://twitter.com/equal_nft,"WeAreEqual LIMITED COLLECTION JUST DROPPED ! No gas fees too! 🚀

LETS GOOOO.❤️

This is the ONLY link to buy : 👇🏽

https://t.co/1kX6Sckesd

#nft #nftart #equality",https://twitter.com/equal_nft/status/1530477066143023105
10,2022-05-28 09:12:13+00:00,https://twitter.com/stefchristou,"WeAreEqual LIMITED COLLECTION JUST DROPPED ! No gas fees too! 🚀

LETS GOOOO.❤️

This is the ONLY link to buy : 👇🏽

https://t.co/pNdBRglHa4

#nft #nftart #equality",https://twitter.com/stefchristou/status/1530477030038556674
11,2022-05-28 09:09:51+00:00,https://twitter.com/mermaidnftart,"Delight in the oceans of change. Our goal is to raise $1million+ for marine protection and gender equality. Change the world one NFT at a time! 

#GreenChipNFT #NFTsforGood  #NFTcommunity #nftcollector #nftart #nftgallery #Oceans #marineconservation #genderequility #WomeninNFT https://t.co/8fNOUhaWnD",https://twitter.com/mermaidnftart/status/1530476436456361985
12,2022-05-28 02:47:40+00:00,https://twitter.com/sadiya937,"Everyone talks about equality, but we bring it to the table by empowering meaningful projects. IncubateX is the first women-led web3 incubator that helps projects that make a difference and create a positive change. #IncubateX_nominee #womenempowering #nft https://t.co/GoDEgVUDi8",https://twitter.com/sadiya937/status/1530380253352194048
13,2022-05-28 02:37:09+00:00,https://twitter.com/Geanz_z,"name = “geanz”
age = “47”
feelings = “nihilistic”
genders = “fluid”
#nft #NFTCommunity #WomeninNFTs #women #gender #equality #art #more #LGBTQ",https://twitter.com/Geanz_z/status/1530377606436073472
14,2022-05-27 19:30:00+00:00,https://twitter.com/sypecom,"#Web3 facilitates ease of technology access for women &amp; minorities:

https://t.co/XMtrv2TNeO

#blockchain #Web3 #CryptocurrencyNews #CryptoNews #TechNews #tokenized #Bitcoin #DAO #DeFi #metaverse #NFT #equality #Diversity #inclusivity",https://twitter.com/sypecom/status/1530270111394721793
15,2022-05-27 14:05:31+00:00,https://twitter.com/YutaNFT,".@TopDogBeachClub/@TopDogStudios_ has been severely undervalued for 11 months. 💯

Including the many things they've built for their holders, they've accomplished things like donating to dog shelters, fighting for gender equality, and even making NFT history up in the Arctic.",https://twitter.com/YutaNFT/status/1530188454470234112
16,2022-05-27 01:20:09+00:00,https://twitter.com/listofdaos,"#DAOs venture capital is coming...the question is 4⃣ who? 👀out @GMN_NFT if you get a chance 💯

#diversity #inclusion #acceptance #WomeninNFTs #womenintech #Equality #WomenInCrypto #minority #undercapitalized #underrepresented #web3 #dao @gmn",https://twitter.com/listofdaos/status/1529995844686123008
17,2022-05-26 19:40:34+00:00,https://twitter.com/DegenMoonFrens,Why was Degen Moon Frens founded? To bridge the gap between Web2 and Web3 through two purposeful pillars: equality through education &amp; community enrichment. We are investing 8 ETH into fulfilling this purpose mission immediately at launch. Stay tuned for the details 👀  #DMF #NFT https://t.co/odRREaGUW8,https://twitter.com/DegenMoonFrens/status/1529910384915795980
18,2022-05-26 14:37:51+00:00,https://twitter.com/QueenTQC,"A huge thank you to all that came out to out #womeninweb3 #spaces today! You are killing it and I am excited to call you a friend!!
Thank you @Jubile3le3 @lady_rarrar @Web3Equity @EdenG_nft @_Crypto_Bunny_ @Fahmikhan @geode_design @msiwaleilaninft see you next time!!
#Equality",https://twitter.com/QueenTQC/status/1529834203457667073
19,2022-05-24 19:25:46+00:00,https://twitter.com/superninaglow,"What a great platform to cultivate and elevate female leadership :) Launch Party for the Female Quotient Equality Lounge® presents: Davos, Decentralized

📍  -59,-25

@femalequotient

#Decentraland #DCL #Metaverse #NFT #NFTs #NFTCommunity https://t.co/rZGmAZBjOQ",https://twitter.com/superninaglow/status/1529181885271879682
20,2022-05-24 18:09:24+00:00,https://twitter.com/Royce_DCL,"The Female Quotient Equality Lounge® presents: Davos, Decentralized

📍  -59,-25

@femalequotient

#Decentraland! #DCL #Metaverse #NFT #NFTs #NFTCommunity #NFTcollections #NFTwearable #airdrop #Wearable #giveaway #wearablegiveaway https://t.co/Lc5JtUomWJ",https://twitter.com/Royce_DCL/status/1529162663929868294
21,2022-05-24 13:38:52+00:00,https://twitter.com/kaifazeta,"Kaifazeta IDEA 008, A pattern that describes a view of life with equality between each other.

Available on @opensea : https://t.co/rJMfmxYVkD

#kaifazeta #opensea #NFTcommunity #NFTdrop #NFTs #NFT #nftart #NFTCollection https://t.co/Q0IPAE5npy",https://twitter.com/kaifazeta/status/1529094585179262976
22,2022-05-23 20:37:11+00:00,https://twitter.com/SariSerodio,"What have I learned today in the #web3:

• thinking about going to NFT events but the tickets are too expensive? The satellite events are the most important.  Go! 
• how to bring more women into web3 events? We need sponsors to create more equality!",https://twitter.com/SariSerodio/status/1528837466702106624
23,2022-05-23 14:32:08+00:00,https://twitter.com/BydraOrg,"MERCHANTS 🛶

👕Style: Casual Chic
💫Spirit: Builders
💪Power: Cryptocurrencies

✌️Role: To allow the community of Bydra to live. They believe in equality.

#NFT #NFTCommunity https://t.co/JYhpbTqIQU",https://twitter.com/BydraOrg/status/1528745600052776966
24,2022-05-23 05:00:15+00:00,https://twitter.com/metadadsxyz,"Do you like freedom, truth, and equality? ✌🏻

We’re giving away this entire NFT collection for free to help bring awareness to these topics 👨‍🎤

https://t.co/Yoj7kQ1GJw

#NFTGiveway #nft #NFTCollection #NFTCommunity #NFTs https://t.co/QHwQ1rsvjW",https://twitter.com/metadadsxyz/status/1528601682027892737
25,2022-05-22 23:03:41+00:00,https://twitter.com/EkoalatyProject,"For those new here, we would like to state that we are the FIRST to provide Live-Dating via the technologies of Web3.0!

Providing equal access to matchmaking is just one of the ways we pursue equality both in the metaverse and IRL.  

Join the revolution. 

#EqualityforAll #NFT",https://twitter.com/EkoalatyProject/status/1528511949205647369
26,2022-05-22 13:30:39+00:00,https://twitter.com/VohnJ43,"Inclusiveness is a way to see the space grow 🚀

#CNFT #NFTCommunity #nft #CNFTCommunity #ZombieChains @ZombieChains #Equality @allyillustrated https://t.co/slPOAEEOAl",https://twitter.com/VohnJ43/status/1528367740511260674
27,2022-05-21 23:38:03+00:00,https://twitter.com/howe,"@SC_Griffith Simple test for equality: If you mint an NFT for the first object, and the two are equal, you won’t be able to mint one for the second, because it already exists. It’s all part of how the blockchain works.",https://twitter.com/howe/status/1528158209952739329
28,2022-05-21 23:04:00+00:00,https://twitter.com/UnitedWorldNft,"From Corruption to Transparency
From Discrimination to Equality
From Hate to Love
From Division to Unity 🌎🕊️

Please support our cause:
https://t.co/Dgl3YncYJ8

#nftart #nft #nftsforfreedom #NFTCommunity #NFTProject #Bitcoin #blockchains #HumanityFirst https://t.co/4MeCfv7l57",https://twitter.com/UnitedWorldNft/status/1528149639156883463
29,2022-05-21 19:51:43+00:00,https://twitter.com/Piggos_nft,"We wanted to share news about AMAZING member @RumpleReturns

He kindly gifted a load of NFTs to our charity Piggo Bank for contests &amp; raffles to generate donations for our charity @equalitynow, who protect &amp; promote the rights of women &amp; girls ❤

#kindness #Equality #NFTs https://t.co/uHopVCZywU",https://twitter.com/Piggos_nft/status/1528101250692222983
30,2022-05-21 18:35:39+00:00,https://twitter.com/metaclubf,"Gm guys!

We strive for diversity and representation of all minority backgrounds in our players at MetaClub🌎🏟

What nations would you like to see our players come from? 

#NFTs #nft #NFTCommunity #Diversity #football #soccer #Equality #fifa #FUT #PlayToEarn #Metaverse #P2EGame https://t.co/GVlIrx3vjj",https://twitter.com/metaclubf/status/1528082108455038978
31,2022-05-20 23:04:00+00:00,https://twitter.com/UnitedWorldNft,"From Corruption to Transparency
From Discrimination to Equality
From Hate to Love
From Division to Unity 🌎🕊️

Please support our cause:
https://t.co/Dgl3YncYJ8

#nftart #nft #nftsforfreedom #NFTCommunity #NFTProject #Bitcoin #blockchains #HumanityFirst https://t.co/wr3vXMrOlX",https://twitter.com/UnitedWorldNft/status/1527787251723288577
32,2022-05-20 20:28:56+00:00,https://twitter.com/equal_nft,"Public minting soon… We will drop 10 unique rare pieces for beginning, whoever gets one is going to hold one of the most unique piece of the collection.🤔
.
#nft #art #equality",https://twitter.com/equal_nft/status/1527748228892004352
33,2022-05-20 17:22:50+00:00,https://twitter.com/KristenVisbal,"Tune in next Tuesday, May 24th to the O Show!  I'll be joining @CryptoWendyO to talk about the Stargazer trading cards!
https://t.co/LvTFOXFQeA
#fearlessgirl #fearlessgirls #fearlessgirlsculpture #metaverse #nft #NFTproject #Diversity #empower #Equality #nftart  #NFTCommmunity",https://twitter.com/KristenVisbal/status/1527701394232320000
34,2022-05-20 13:19:40+00:00,https://twitter.com/pairology,"The Role Of STEM Education In Achieving Gender Equality via @forbes https://t.co/4KGJrEtk93 

#NFT #love #nftnews #nftart #Community #nftproject #eth #Vevefam #Followback #crypto #art #hro #recur #NFTartists #Music #club #sports",https://twitter.com/pairology/status/1527640201987731461
35,2022-05-20 12:18:19+00:00,https://twitter.com/jaystansfield,"Thanks for joining today's space! It was a passionate one in favour of equality, something we UST uphold in the decentralised NFT space!

Art prompt: A Level Design For A Game

Join US again Tues to Fri 12pm GMT

❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
https://t.co/nKOi0fybTU https://t.co/JFpjX5bnXm",https://twitter.com/jaystansfield/status/1527624762171744256
36,2022-05-20 02:58:12+00:00,https://twitter.com/vijay_bharadvaj,"Digital Art #75

Art form: Digital painting 

Name: Conscience 

The conscience of universe itself lies in the path of equality and so is the gods. 

#NFT #NFTCommunity #MAYC #art #artlovers #artoftheday #minimalismlife #minimalart #abstractartist #NFTcollectibles https://t.co/llQPMzzzNY",https://twitter.com/vijay_bharadvaj/status/1527483803521822720
37,2022-05-20 02:22:12+00:00,https://twitter.com/ZuttrZUT,"@theuglypeach1 @holy_schnitt I am a short king however I don’t expect love lol. I expect equality and decency, the rest is up to you so play nice and we can have fun. Super pumped for your new NFT project btw.",https://twitter.com/ZuttrZUT/status/1527474742260817920
38,2022-05-20 01:50:54+00:00,https://twitter.com/vijay_bharadvaj,"Digital Art #74

Art form: Digital painting 

Name: Conscience 

The conscience of universe itself lies in the path of equality and so is the gods. 

#NFT #NFTCommunity #MAYC #art #artlovers #artoftheday #minimalismlife #minimalart #abstractartist #NFTcollectibles https://t.co/jqhhJOg5uw",https://twitter.com/vijay_bharadvaj/status/1527466865668128769
39,2022-05-19 21:34:55+00:00,https://twitter.com/BreakinLeveeNFT,"We have a Roadmap, but also a #HopeRecipe

https://t.co/RqTEROykRf
These are the ingredients:
- We will fund the RISE Foundation
- Upgradable NFT
- Community &amp; Equality Fund
- IRL Events
- ERC721BL Smart Contract
- Surpises Fund

Keep building and #LFG https://t.co/HobqNGjHL9",https://twitter.com/BreakinLeveeNFT/status/1527402446439464961
