,Date,User,Tweets,Url
0,2022-05-31 18:07:07+00:00,https://twitter.com/blacksquare_art,"When you enter the Blacksquare, free yourself from any prejudices.

The Blacksquare stands against any kind of discrimination, racism, war, oppression. 

We are Blacksquare!

⬛️OBEY YOURSELF⬛️

#Blacksquare #NFT #Peace #NoToWar #Notoracism #Equality",https://twitter.com/blacksquare_art/status/1531698806810632196
1,2022-05-31 14:10:15+00:00,https://twitter.com/NFTtoothemoon,"🎉 #GIVEAWAY 🎉

Collagebots want to spread anti-racism and anti-homophobia in the NFT Community.
🌟FREE MINT / ✅ Doxxed Team / 

Prize:
👑 5 OG Role
⭐ 10 Whitelist Spot

To enter:
1⃣ Follow @CollageBotsNFT &amp; @NFTtoothemoon 
2⃣ Like ❤️
3️⃣ Retweet 

24h ⏰
#NFTCommunity #NFTs https://t.co/lnBEwCV151",https://twitter.com/NFTtoothemoon/status/1531639197706108930
2,2022-05-30 19:10:23+00:00,https://twitter.com/uchuushelf,"@PINKCATNFT I mean at the most minor of it all - excluding the plagiarism and racism - you're not a comic artist. And TCAF isn't a trade show, it's a festival. I know you probably haven't put a lot of thought into it if your NFT art is any indication but at least try.",https://twitter.com/uchuushelf/status/1531352339126304768
3,2022-05-30 19:00:19+00:00,https://twitter.com/teaberryblue,"@assumptionprime @fyscuit @TorontoComics I agree! But most of the commentary about this is focused on the NFT aspect which I don’t think is as cogent to people who don’t  get what the issue with NFTs are, and the racism and plagiarism are things everyone knows are bad and compound the NFT problem exponentially.",https://twitter.com/teaberryblue/status/1531349804651057152
4,2022-05-27 01:00:07+00:00,https://twitter.com/afainatl,"If you follow neo-Nazi involvement in new internet spaces, read this thread covering esoteric Hitlerist groomers leading an NFT project called Milady Maker. Warning for pro-anorexia and suicide on top of the usual Nazi antisemitism and racism.",https://twitter.com/afainatl/status/1529990802398760972
5,2022-05-24 17:20:36+00:00,https://twitter.com/SENDYOURNFT,NFT Project Milady's Charlotte Fang Accused Of Racism And Homophobia - Bitcoinist https://t.co/7Z7qglQtJ4 #NFTCommunity #NFTGiveaways #NFT,https://twitter.com/SENDYOURNFT/status/1529150382856757248
6,2022-05-24 04:54:05+00:00,https://twitter.com/Shadmanislam151,"Dune Crypto Leader Quits NFT Project After Being Accused Of Racism, Homophobia 
Article Link:  https://t.co/U5iFsKZUVu
Follow me for more NFT updates like this.
#nft #nfts #nftart #NFTartists
#nftcommunity #nftcollector #Blockchain #NFTNews https://t.co/e9Is4HeUvN",https://twitter.com/Shadmanislam151/status/1528962516994641920
7,2022-05-24 01:42:56+00:00,https://twitter.com/0x_metavision,"Dune Crypto Leader Quits NFT Project After Being Accused Of Racism, Homophobia &amp; Grooming.

Nobody can speak here as we've seen.

Crypto and #NFTCommunity hate this actions! https://t.co/zUScjsnf4h",https://twitter.com/0x_metavision/status/1528914413503229952
8,2022-05-24 01:02:44+00:00,https://twitter.com/Kotaku,"Dune crypto leader quits NFT project after being accused of racism, homophobia &amp; grooming: https://t.co/5nEwDgPYw2 https://t.co/zmLH2dFFGP",https://twitter.com/Kotaku/status/1528904297735503873
9,2022-05-23 20:46:01+00:00,https://twitter.com/papasmurff91,"@FiatPunks @Pauly0x @axidentle @poboy_eth @Jdotcolombo @rayway_eth @J3FFJuNK @BloomCapital_ Waiting till some jews at @BankofAmerica find out about this lol 
The biggest nft collection ever is filled with antisemitism and racism 
They reason @ryder_ripps apes are appealing to me is they highlight the the trash messages they had hidden until someone paid attention",https://twitter.com/papasmurff91/status/1528839690174046209
10,2022-05-23 20:38:46+00:00,https://twitter.com/atiabii,"my acount with +4 ETH volume trade was closed because I was Iranian !
Our share of the world is racism ! 🙂
#opensea 
#NFTCommunity #NFT https://t.co/W83WSLgF1h",https://twitter.com/atiabii/status/1528837866972925953
11,2022-05-23 00:54:07+00:00,https://twitter.com/poboy_eth,@axidentle @Pauly0x @Jdotcolombo @rayway_eth @J3FFJuNK @BloomCapital_ … thinly veiled racist NFT collection growing in such a way to leave massive bag-biased holders defending the racism.,https://twitter.com/poboy_eth/status/1528539738549919749
12,2022-05-21 15:37:01+00:00,https://twitter.com/xaxi_nft,"🚨BREAKING NEWS🚨

milady is still run by racism team dump your milady now or next time you'll be on twitter will be in jail on a burner phone",https://twitter.com/xaxi_nft/status/1528037151581032452
13,2022-05-21 15:09:39+00:00,https://twitter.com/zahraparyari0,"For @opensea as shit platform 🖕🏼
my NFT friends,My page on opensea is lost! Cause apparently I'm Iranian by blood!
If it's not racism then what is it?!!!
I continue my way till end of my life,no one can’t stop my hands .
I’m so happy that I’m out of this shit now.
#opensea #NFTs https://t.co/mQPNWHW7gs",https://twitter.com/zahraparyari0/status/1528030266358382592
14,2022-05-21 12:03:14+00:00,https://twitter.com/Erfan_Samanfar,"Hi my NFT friends 
I'm writing this with anger 
My page on opensea is lost! Cause apparently I'm Iranian by blood!!!
If it's not racism then what is it?!!!
How my artworks are related to the politics?
I continue my way. https://t.co/Q4fhl1XNVy",https://twitter.com/Erfan_Samanfar/status/1527983352510283776
15,2022-05-19 03:03:10+00:00,https://twitter.com/NEETOCRACY,"&gt;find out there's a NFT community for unemployed people
&gt;art is decent and it's a cheap entry point
&gt;rules in the Discord: no racism or sexism

Sad!",https://twitter.com/NEETOCRACY/status/1527122663348457474
16,2022-05-14 03:26:55+00:00,https://twitter.com/stellabelle,"while we are getting all the dark stuff outed in the NFT space, if u own a milady you’re supporting a girl child grooming operation, nazis, racism and maybe even worse things u cannot fathom. dyor",https://twitter.com/stellabelle/status/1525316701239246848
17,2022-05-13 20:01:09+00:00,https://twitter.com/Giraffitii_NFT,"Hey! 
I'm feeling sick.
I won't be at spaces for a while.
But I'll be back strong &amp; loud!
When I get back my strength, I'll speak up about some truth going around lately! Enough of male dominancy, racism, discrimination of any kind! 
#NFT #NFTCommuntiy #Empowerment",https://twitter.com/Giraffitii_NFT/status/1525204521009438721
18,2022-05-13 19:58:27+00:00,https://twitter.com/FoxesOfTheOpera,"#FauxNews reporting by #TuckerFoxelton

Does sexism and racism already exist in the worlds of #NFT and #Crypto? This is a snapshot of the current listings on @cryptopunks. I’m seeing a pattern here of all minorities and women, are you seeing this too? @snoopdogg @Melt_Dem https://t.co/SPPtT9eUKW",https://twitter.com/FoxesOfTheOpera/status/1525203841414639616
19,2022-05-12 14:24:53+00:00,https://twitter.com/TheLeaningLeft,"@KashGetCarter @naturaldoteth @fucking_alfa I don't think you've seen enough of his work tbh. It's not being blind to reality. If anything, the NFT community took a couple pictures and completely negated how critical of racism, religious hypocrisy, government corruption, etc. Trosley was.",https://twitter.com/TheLeaningLeft/status/1524757508161785858
20,2022-05-09 19:40:26+00:00,https://twitter.com/EessoArtGallery,Miss Universe Choose black body to shut racism listing on OpenSea! https://t.co/I3MmXkgQTe via @opensea #nft #nfts #nftart #NFTCommunity #NFTGiveaway #NFTdrops #digitalart #eth #opensea https://t.co/QGOlurZkPq,https://twitter.com/EessoArtGallery/status/1523749754853019648
21,2022-05-09 01:13:31+00:00,https://twitter.com/TophCoins,@corycampbelll nft racism.  lol.,https://twitter.com/TophCoins/status/1523471192966852608
22,2022-05-08 16:59:42+00:00,https://twitter.com/aryetime,@Helloimmorgan nft pfp racism at its finest,https://twitter.com/aryetime/status/1523346920366047232
