,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
1633,fujimotonft,"@timmayeur @AdamBombSquad @Coinbase_NFT We are bias as hell of course, but we are in it for a reason. Coinbase are no dummies, we will remain patient.",https://twitter.com/fujimotonft/status/1461446011956645897,2,1,1264,"['timmayeur', 'AdamBombSquad', 'Coinbase_NFT']"
951,vrjar_,"every nft i want and can afford is undervalued.
every nft i want and can't afford is overvalued.
all the others are just scams.
i have no bias.",https://twitter.com/vrjar_/status/1494701069187878926,1,0,63,
1541,lowtek_tommy,"@FantomKnight_ @Josh33396858 $imx $dvf on zk-STARK is two projects i can vouch for, alltough with a bias =&gt; bags. Used both (NFT’s and gaming on imx and trading on deversifi). Currently allocated some $mute (zk-sync). Any projects you looking at?",https://twitter.com/lowtek_tommy/status/1468140921233580038,2,0,1147,['Josh33396858']
881,bjackson215,@EthCaysi @DentedFeelsNFT @fishyfamNFT @CCrewNFT @bloodshedbears @LongLostNFT @Chillnchameleon @CybonixNFT @parkerjaysmith crazy how the universe keeps making the projects of @LobsterBC @bloodshedbears @Chillnchameleon @CCrewNFT @CybonixNFT all circle around each other!! These projects deserve to become major players in the #NFT world! i only have 2 of the 5 so not even being bias,https://twitter.com/bjackson215/status/1497994089450594313,4,0,1031,"['EthCaysi', 'DentedFeelsNFT', 'fishyfamNFT', 'CCrewNFT', 'bloodshedbears', 'LongLostNFT', 'Chillnchameleon', 'CybonixNFT', 'parkerjaysmith', 'LobsterBC', 'bloodshedbears', 'Chillnchameleon', 'CCrewNFT', 'CybonixNFT']"
1926,shig_nft,@Vegzi1 @qUBYt2 @hicetnunc2000 Such a great Qube too - no bias from me at all 😎💚,https://twitter.com/shig_nft/status/1438173834180538378,4,0,1242,"['Vegzi1', 'qUBYt2', 'hicetnunc2000']"
1872,Kawa_oneechan,"""Prone to bias and prejudice"" applies to the image on the right more than the left.

Because if you see someone with an NFT pfp, you can IMMEDIATELY conclude this person is either a complete fucking idiot, or making fun of a complete fucking idiot.",https://twitter.com/Kawa_oneechan/status/1444306261349130242,4,1,815,
568,theschivar,@Shamanizer_NFT @GiancarloChaux @shamanzs @ThePossessedNFT No bias tho right? ;),https://twitter.com/theschivar/status/1508829288707117061,0,0,650,"['Shamanizer_NFT', 'GiancarloChaux', 'shamanzs', 'ThePossessedNFT']"
1516,NFT_SlumLord,"@NFTooPerfect @pixelvault_ Word, not a huge fan of some of the people behind it, so I’m a little bias. But I got some projects that I google eye over too so I feel it",https://twitter.com/NFT_SlumLord/status/1469348713734676483,1,0,1834,"['NFTooPerfect', 'pixelvault_']"
1565,errai_archive,"@OpinionEnjoyer @goblinlord90 i do think a good portion of people into nft are ok with an easy profit in spite of someone else's health, happiness or success, but the numbers for now are a bit too low to confirm or deny my bias",https://twitter.com/errai_archive/status/1466140335847976960,1,0,3662,
242,MetisDAO,"6/ Participatory Processes👥👥

Web3 applications that involve public participation, such as random token distribution or drawn winners, such as big NFT mints, can leverage a random number generator to ensure a truly fair assignment process of high demand items without bias",https://twitter.com/MetisDAO/status/1521491047142076417,20,4,143021,
