,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
226,ChefOctane,"@GoldSkull_PA @opensea @psychedelic_nft Hey @opensea, seems like there might be some selective discrimination, exclusivity, and other issues in your verification process. What say you? https://t.co/URNp3Zq4gL",https://twitter.com/ChefOctane/status/1504205287909212165,7,0,1968,"['GoldSkull_PA', 'opensea', 'psychedelic_nft', 'opensea']"
297,pacrmn,"we are all equal. 
no race, 
no discrimination. 
We are human.

Project: Frankenstein Human.

collection of 20 photo collages, designed on 120 individuals

#NFT coming soon https://t.co/NU1gzya8XN",https://twitter.com/pacrmn/status/1497224824850198528,3,0,678,
480,Shiomakan,"@Hero_NFT_ &gt;HERO

This name doesn't deserved you, because what you do is just discrimination against Japanese

Spreading fake information about Japanese is discrimination against Japanese
Can you understand? https://t.co/b4Wzp5K3l5",https://twitter.com/Shiomakan/status/1463289313450504196,32,6,642,['Hero_NFT_']
638,namidamila,"Racial discrimination solution
Near future available for everyone 
@opensea #nft #NFTCommunity #nftcollector #NFTartist #NFTcollection 
Available on @namidamila #nft #opensea high res #tiff https://t.co/ooqkOEQpB1",https://twitter.com/namidamila/status/1403016954533797891,1,0,9,"['opensea', 'namidamila']"
501,OjuniOfficial,"OJUNI is now on OpenSea! 👾🧨

The gaming industry can be a toxic environment, filled w/ gatekeeping, hate and discrimination &amp; also damaging attitudes &amp; threats of violence. 

Our NFT's will promote inclusion in all aspects across the gaming industry! 

https://t.co/5osHh0MeA7",https://twitter.com/OjuniOfficial/status/1460356072317800448,2,1,21,
66,GiulioTesty,"@_NFTsPromoter @cybotz_nft one of the most iconic symbols of Art's History and culture, against any discrimination, embracing diversity✊https://t.co/WxKssBHU8F
0.06eth😬 https://t.co/OKFSu7ROfG",https://twitter.com/GiulioTesty/status/1523056656371929093,3,0,2074,"['_NFTsPromoter', 'cybotz_nft']"
639,keerthanpg,"Portrait of Wynta-Amor Rogers, a 7 year old activist embodying the fierce determination of young people to end racial discrimination in the US, at @BlkLivesMatter protests in New York state following the murder of George Floyd last June. 
NFT : https://t.co/Ct07rp07bF @opensea https://t.co/FwmOb0U4nk",https://twitter.com/keerthanpg/status/1401777651996495873,6,0,1831,"['Blklivesmatter', 'opensea']"
101,MooonWorldNFT,"aims for an equal and peaceful world without discrimination based on gender, ethnicity, status or power...👽
#NFTCommunity #MOOON #NFTartist #NFT #DAO https://t.co/hYrQDfNvp6",https://twitter.com/MooonWorldNFT/status/1518885093225336832,2,1,125,
19,GiulioTesty,"@_NftCollectors @cybotz_nft one of the most iconic symbols of Art's History and culture, against any discrimination, embracing diversity✊https://t.co/WxKssBHU8F
0.06🤌eth https://t.co/XEH4VMtbp0",https://twitter.com/GiulioTesty/status/1528732945304928256,3,1,2074,"['_NftCollectors', 'cybotz_nft']"
167,iRise_NFT,"6/🧵🧠A 2019 school climate survey showed that 86% of LGBTQ youth reported being harassed or assaulted at school. 

🧠Experiencing discrimination, homophobia, biphobia, transphobia, bullying and identity-based shame places individuals at a significantly higher risk for PTSD",https://twitter.com/iRise_NFT/status/1509274657819697165,1,0,2198,
482,CaptainFuture8,"@Hero_NFT_ Discrimination against Japan by Abnormal Korea

Bottom right: Koreans killed Japanese birds and dogs for demonstration https://t.co/6tyREfsgQr",https://twitter.com/CaptainFuture8/status/1463226055490105348,67,27,1324,['Hero_NFT_']
252,jey_jey_Naija,"It's a Good morning NFT world
Who's gonna be my first collector
Women 
Who's gonna support the black movement 
Racism must stop 🛑
Body shaming must stop 🛑
Discrimination must stop 🛑
@AbominableBunch @ShillWater  @a5ht4r @AFRICANMETA #NFT https://t.co/FZfpozj6C1",https://twitter.com/jey_jey_Naija/status/1501460979753836545,4,0,2074,"['AbominableBunch', 'ShillWater', 'a5ht4r', 'AFRICANMETA']"
