,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
1943,wearelivingNFT,"NFT DROP 🔥 Galactic ape 

DIVERSE METAVERSE ❤️‍🔥 1/1 NFTS 👽

https://t.co/KYrhlUeBpN

#WomeninNFTs #NFTs #NFTCommunity  #NFTdrop #NFTGiveaway #PolygonNFT #apefollowape #APENFT https://t.co/evnEkCWPIz",https://twitter.com/wearelivingNFT/status/1504994788931743744,10,0,3268,
7316,blockrunrs,"BLOCKRUNRS is an emergent cyberpunk meets anime NFT collection and narrative that will unfold online and IRL with dope and diverse hand-drawn art, triple-A production value, and an award-winning team (one of our artists has worked on Apex Legends and Valorant).",https://twitter.com/blockrunrs/status/1444366874813386762,27,2,2006,
3708,eOrtwinM,WoW 😊2 sneakpeaks in a row ❤️❤️❤️ Reveal of the launchdate is tomorrow on #ValentinesDay @Diverse is on 🔥🔥🔥#DIVERSE #nft #NFTCommmunity #nftart #nftlaunch,https://twitter.com/eOrtwinM/status/1492908156346945542,1,0,452,['diverse']
6702,blender_nft_,"@NFTprime1 Not on sale yet but check out @GobzNft !! Promise you they’re COOL AF. Even the community inside is fun and super diverse.
 I highly recommend checking this out yourself. https://t.co/HPgB6maf3K https://t.co/CsQh48WvWK",https://twitter.com/blender_nft_/status/1460269966440161286,10,1,5533,"['NFTprime1', 'GobzNft']"
5588,eliztsehai,"A user-owned NFT platform.

So much opportunity.

Inviting @LooksRareNFT to come talk to us on how we can help make that user base diverse.",https://twitter.com/eliztsehai/status/1480930162954977281,37,4,3619,['looksrareNFT']
1421,poma_nft,"So excited to finally collect a piece from @__cocolarry using part of my recent NFT sales. @__cocolarry art is body positive, diverse and bad ass. If you haven't checked it out already, there are still a couple of pieces available, but they'll be gone in a hot minute! https://t.co/oBnoOP6nCc",https://twitter.com/poma_nft/status/1510768627288469507,34,2,1897,"['__cocolarry', '__cocolarry']"
7304,PixelSaurusNFT,"@jlindsayfilm @MillRaccoons @NylaCollection @StrangerEggzNFT @CryptoBeans_NFT @FlowtysNFT @fuzziemints @CryptoDickbutts @NonFunGerbils @Smoltog @SpaceBotsGame @0n1Force @KristyGlas Hey Judy! We think you will dig our 'PixelSaurus' NFT collection. Diverse dinosaurs with their own backstories,  roles and pronouns. https://t.co/jk61Izkks4",https://twitter.com/PixelSaurusNFT/status/1444965852948860932,1,0,8112,"['jlindsayfilm', 'MillRaccoons', 'NylaCollection', 'StrangerEggzNFT', 'CryptoBeans_NFT', 'FlowtysNFT', 'fuzziemints', 'CryptoDickbutts', 'NonFunGerbils', 'Smoltog', '0n1Force', 'KristyGlas']"
3872,RedactedFrog,"If you are an NFT project looking for an  a r t i s t - consider hiring a nonbinary or trans artist!

There are  m a n y  diverse people with talent here

Make your project  i n c l u s i v e  to a wider audience!

#NFTCommumity #NFTartist #NFTartwork https://t.co/T662GznOJy",https://twitter.com/RedactedFrog/status/1491539279926808576,4,0,501,
2989,splapi_nft,"I make 1/1 digital collage arts.
This collection expresses a world like being in a colorful dream, floating in a wide universe.
It ’s like an infinite and diverse world🌈💫✨
Check out my NFT on OpenSea!
I will take you to my little universe.

https://t.co/EvNuzTljiL

#NFT",https://twitter.com/splapi_nft/status/1497503341986795521,28,5,486,
7222,c13studio,"The Cityscapes is a collection of 54 photos of diverse urban street scenes across different cities in Mexico, United States, Argentina, Japan, South Korea, Belgium and Uruguay.

https://t.co/8eeu87itlO
#openseanft #nft #nftphoto #nftphotography #nftartist #NFTcollectibles https://t.co/kwZ3ZYjkxh",https://twitter.com/c13studio/status/1447226318374981632,1,0,429,
