,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
653,MissMaluma,No because all the white men with no personality that work in Tech and UX blindly followed the NFT wave because it was yet another exclusive white men boys club and now look at them…..back to tweeting about “diversity in tech” after all that….,https://twitter.com/MissMaluma/status/1524572220722458624,1,0,40,
998,anneliese_olson,"Love my ""You"" NFT reveals this week!  Thanks to @MyBFF for creating space for everyone to learn more about crypto, blockchain, NFTs in an inclusive way ❤️.  Beautiful artwork by @jadepurplebrown #WomeninNFTs #diversity #BFF #LFG https://t.co/EOEQ4zJntx",https://twitter.com/anneliese_olson/status/1519517103669215233,6,0,1701,"['MyBFF', 'jadepurplebrown']"
173,jivdontexist,"@trevorjonesart @PIXELMAN_arts To create cryptoart is to commit yourself to decentralization , To create Nftart you just need to mint a nft 

But at the core we are all artists who express our feelings and creativity in diversity 🤍",https://twitter.com/jivdontexist/status/1529422438563463169,7,1,3652,"['trevorjonesart', 'PIXELMAN_arts']"
908,SophieArtNFT,"#WL - #NFTGiveaway 🎉
🔥Self-made photography turned into real art by Austrian female artist showing how beautiful and unique we are🔥

☑️ Like, Retweet &amp; Tag 3 friends
☑️ Follow @SophieArtNFT 

You will not regret it 😀
https://t.co/c1GB5ZaHYP
#nft #eth #diversity #NFTCommunity https://t.co/ZYh8SHpZEO",https://twitter.com/SophieArtNFT/status/1520854860597534720,10,3,110,['SophieArtNFT']
60,AcceptyArt,"Title: Unbalanced Bicycle
Even if it's unbalanced, you can move forward.

#NFT #NFTs #socialgood #diversity #inclusion #beyourself https://t.co/sHi5utT08m",https://twitter.com/AcceptyArt/status/1531005481992523784,2,1,109,
614,Eli_Krumova,I gave +Kred to @educate_girls on @Kred. #influence #GirlsWhoCode #WomenInSTEM #WomeninTech #WomenWhoCode #STEM #AI #ML #IoT #IIoT #IoTPL #NFTs #NFT #Metaverse #Programming #DataScience #tech #EmergingTech #FutureofWork #Diversity #Equality #Inclusion #DEI #womenempowerment #SDGs,https://twitter.com/Eli_Krumova/status/1525216990146838528,5,3,31627,"['educate_girls', 'Kred']"
328,emsosavvy,"I couldn’t help but grab a couple more @GirliesNFT… ✨💕

@Valeria_NFT, congrats on being accepted the  @NFT_NYC 2022 Diversity of NFTs Art Showcase!! 

So excited for you! https://t.co/ftyvOX1xyg",https://twitter.com/emsosavvy/status/1527879662856245249,53,6,12123,"['GirliesNFT', 'Valeria_NFT', 'NFT_NYC']"
187,leodacripto,"14IX25IX

Crazy! Overwhelmed!
Got selected to represent the diversity of NFTs via Showcase of my art on Times Square Billboards and in the https://t.co/P0MJbIfmpb Event Atrium.
Honored! Thank you @NFT_NYC for this high recognition and trust.

Let‘s decrypt the world. https://t.co/6PWqAYtX7u",https://twitter.com/leodacripto/status/1529238757966327810,14,3,277,['NFT_NYC']
377,nivaaz_nft,"Gm

Feeling super frustrated about diversity in stem this morning 

Hbu",https://twitter.com/nivaaz_nft/status/1527412593731989504,2,0,1122,
786,AcceptyArt,"Title: The Less Is More Eco Friendly
Less, but better.

#NFT #NFTs #socialgood #diversity #inclusion #lessismore https://t.co/vDKWcQmgLH",https://twitter.com/AcceptyArt/status/1522580018106634251,1,1,109,
