,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
1131,alicandogancam,"I congratulate all women on March 8, International Women's Day and wish you a life full of equality, freedom and happiness.
🌺🌹🌹
#8March  Women's Day 
#nft #nftcommunity #nftphotography https://t.co/G7AF6ztOHS",https://twitter.com/alicandogancam/status/1500954761524350984,40,3,2263,
674,AhmedBa43221124,"@CryptoFight24 @Osimicity Usually, NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. 
 How would #Osimicity promotes fairness and equality to its players? 
 Do the skills of the players matter more than the character...?@SHE",https://twitter.com/AhmedBa43221124/status/1511858592248483849,0,0,35,"['CryptoFight24', 'Osimicity', 'she']"
477,Israeladie,"""EKPE""
My most recently completed Charcoal drawing. 
#art #artist #nft #originalcharacter #blm #justice #equality https://t.co/c4UNtdX3LQ",https://twitter.com/Israeladie/status/1517490359877705728,12,4,2148,
606,themandalaverse,"@coi_nft @ArielIndia @Yashika__Kalra @BhatAmoolya @VanGoDoodle @itmerachna @OrangeIntentio1 #ShareTheLoad to me, means to understand, help &amp; support the other person, it can be our partner/friends/parents; to see &amp; do household chores as just chores and not associate them with gender, to speak up for gender equality because both men &amp; women together have to bring change",https://twitter.com/themandalaverse/status/1513945176321892353,2,0,533,"['coi_nft', 'ArielIndia', 'Yashika__Kalra', 'BhatAmoolya', 'VanGoDoodle', 'itmerachna', 'OrangeIntentio1']"
632,katicey_,"If you are still looking for a NFT project that cares about the really important things of our society, with focus on equality and supporting women, then join @NotYourBroNFT  I am really happy to be part of the community and what it stands for.
#nft #nftwomen #nftcommunity #NFTs",https://twitter.com/katicey_/status/1513393880300879875,2,0,275,['NotYourBroNFT']
1044,Rocky85332393,"@CryptoTalkzInfo @MetaMate_NFT Usually, NFT games favor those who have upgraded, leveled up, and purchased large amounts of in-game items. How does this metaverse promote fairness and equality to its players? Are the skills of the players more important than the characters",https://twitter.com/Rocky85332393/status/1501488219459833859,2,0,16,"['CryptoTalkzInfo', 'MetaMate_NFT']"
1639,offshoda,"I wonder how women wants equality and all they could bring to the table is s*x and nudity.

They objectify themselves a lot on all platforms instagram,Twitter,TikTok and even in work place,now they are bringing it to the NFT space🤦‍♂️

Pls u people should just stop already",https://twitter.com/offshoda/status/1487731111681794050,20,13,21213,
919,tomboy_nft,"Nobody can convince you otherwise since everyone is born equal.

 In the Metaverse, embrace your equality and express your uniqueness. 

Join our community right now.

https://t.co/MecVL1RDO5

#metaverse #tomboy #tomboyNFT #NFTholders #tomboyfashion #nonbinary #pride https://t.co/uenZ7SsjGC",https://twitter.com/tomboy_nft/status/1504533283543130116,5,0,1067,
1256,BecauseWomenNFT,"We have one more sneak peek for you guys!!👀🔥✊
This gorgeous BOW represents our values:
1. Diversity
2. Equality
3. Authenticity
4. Fearlessness
5. Giving back

#NFT #BOW #NFTs #NFTdrop #NFTCommunity #NFTProject #WomenInNFTs #nftart #NFTCollection #WomenInCrypto #nftcollector https://t.co/a8atVsRRZS",https://twitter.com/BecauseWomenNFT/status/1497248105703612416,10,0,735,
590,TheDillionGroup,"20% of the proceeds from each NFT will be donated to organizations that promotes wellness, recovery, equality, and dignity for individuals and families affected by mental illness.
.
https://t.co/tsxf5omsFG via @opensea 
.
#NFTs #nft #NFTCommunity #MentalHealthAwareness",https://twitter.com/TheDillionGroup/status/1514710821745561615,2,2,31,['opensea']
2286,amber_vittoria,"So excited for what we all can do in this new #nft space as artists for each other, for collectors (new and established). Creating equity and equality (and beautiful artwork) as we go!",https://twitter.com/amber_vittoria/status/1453397427575304195,18,0,40558,
730,U_S_Community,"@GameFi_Official @drunk_robots Blockchain NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would #drunk_robots promotes fairness and equality to its players?",https://twitter.com/U_S_Community/status/1510502730850201601,0,0,1112,"['GameFi_Official', 'drunk_robots']"
168,Rudro16390950,"@Cryptocrowdnews @DopamineGAME @CryptoCrowd2011 Many NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would @DopamineGAME promotes fairness and equality to its players? Do the skills of the players matters more than the character?",https://twitter.com/Rudro16390950/status/1525314829392953344,1,0,21,"['Cryptocrowdnews', 'DopamineGAME', 'DopamineGAME']"
324,jasonmena_,"Art is a catalyst for education, not solely as a financial instrument. I do not want Art for a few any more than education for a few, or freedom and equality for a few.

#Art #NFT #NFTCommunity #EducationForAll",https://twitter.com/jasonmena_/status/1521238371036807171,3,0,1496,
575,RSGNFT,"Seneca Women X Nifty Gateway Partner To Promote Gender Equality
Global platform, Seneca Women is teaming up with Nifty Gateway to launch an exclusive NFT collection.Titled “The Seneca Women Equality Collection”,the drop will go live on 25 April on Nifty Gateway’s marketplace.#NFT https://t.co/0DdUdnx5ZH",https://twitter.com/RSGNFT/status/1515368064191193089,3,0,4306,
1836,chaiaiix_nft,"@BeshEXE The pain you didn't expect 💔
Pls God, give me a world of  equality and strength of mind. 🏳️‍🌈

RESERVE PRICE 0.45 ETH on FND
Artist : @_wnd55 @Jazlynart @erisakie
https://t.co/4mZauPQFRQ",https://twitter.com/chaiaiix_nft/status/1481554551438454788,4,3,13098,"['_wnd55', 'Jazlynart', 'erisakie']"
656,cryptscp,"‘Equality, accessibility and inclusivity’: CEO Trace Network Labs gives sneak peek into metaverse of avatars - The Indian Express https://t.co/FwmQYr6C8J Buy BTC: https://t.co/NvvKJPmPAy #metaverse #crypto #nft #oculusrift #virtualworlds #virtualreality https://t.co/j7SGPO6Jkw",https://twitter.com/cryptscp/status/1512351953765822467,0,0,1781,
2214,redfreakly,"@portraitphoenix @CryptoKing_NFT I promise if I win, I’ll use this Axie for green energy, equality, and for the love of axies",https://twitter.com/redfreakly/status/1458816162154885127,1,0,93,"['portraitphoenix', 'CryptoKing_NFT']"
2345,unshareable,"@d_centrlaysh @jerrysaltz I agree, the nft market has reproduced the same dynamics of the art market, in spite of the ideological proclamations of equality. They have only replaced the cultural stakes with others based on the artist's fame, which becomes immediately monetizable &gt;",https://twitter.com/unshareable/status/1447980916144582665,1,0,283,"['d_centrlaysh', 'jerrysaltz']"
2029,DoctorPlaneta,"Do you wanna a great #NFT collection?
So here you have the one!
Get your Führer of Pride and help tu build the new Reich of love and equality! ❤
https://t.co/9DKi0jJjVj

#NFTs #NFTCommunity #NFTcollectables #nftart #NFTinvestor #nftbuyer #newnftcollections #nftlgtb https://t.co/gDw8u8B6x9",https://twitter.com/DoctorPlaneta/status/1471399920645165060,6,1,4862,
