,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
3380,bckrissy,"@NateAlexNFT Almost everything happening now in NFT speculation land has an IRL parallel. There were so many junk pumps in US equities in 1997, but some solidly-founded companies made it.",https://twitter.com/bckrissy/status/1483462569427968002,2,0,568,['NateAlexNFT']
4549,quantmre,"Money worries keeping you up at night?  Put your home to work for you.  Release some of the equity in your home for cash to use now.  No monthly payments, no additional debt.  Intrigued?   Download our free ebook now:  https://t.co/yGzKfNAN0e
#blockchain #Algorand #NFT https://t.co/Vv1kOzRFRl",https://twitter.com/quantmre/status/1458600514988482560,2,0,1483,
1736,quantmre,"Get cash now with a Home Equity Agreement from QuantmRE. It's not a loan, it’s not a HELOC and it’s not a reverse mortgage.

No monthly payments and no added debt.

Download our free ebook.  https://t.co/yGzKfNAN0e
#blockchain #Algorand #NFT #realestate https://t.co/MVie7c3dJI",https://twitter.com/quantmre/status/1505635362290417665,3,1,1483,
49,PlanningAction,"If it's a tech company, I could do equity $TXMD $CLOV $RCL $XOM $JBLU #nft",https://twitter.com/PlanningAction/status/1530904550785302529,1,0,970,
1685,quantmre,"Get cash now with a Home Equity Agreement from QuantmRE. It's not a loan, it’s not a HELOC and it’s not a reverse mortgage.

No monthly payments and no added debt.

Download our free ebook.  https://t.co/yGzKfNAN0e
#blockchain #Algorand #NFT #realestate https://t.co/3xCnclqT5S",https://twitter.com/quantmre/status/1506360209035476995,2,0,1483,
1265,AltAssetsClub,"IPO'ing today on Rally Road: SANDBOX ESTATE NFT (SNOOP DOGG &amp; AOKI ADJACENT)

Asset Type: NFT Real Estate
Market Cap: $105000
Share Price: $5
Retained Equity: $0 https://t.co/KICHPpt6YQ",https://twitter.com/AltAssetsClub/status/1512404677014564867,1,0,2080,
3956,trieyedoc,"@HannaCelina @ljin18 Felt the same way! Simple process of reading an amazing articulated essay on Web3, and purchasing the NFT to support. Forever hold the NFT to the essay as equity and part of my social wallet, and contributed to further work from the creator. 🤯",https://twitter.com/trieyedoc/status/1473145588233420803,2,0,4827,"['HannaCelina', 'ljin18']"
2731,NiftyMateo,@thejpeglord @SolanaMBS @MonkeDAO Another thing is that the art has to match. I worked my ass off to buy my red devil monke and I’ve built my NFT collection around that brand … personal branding equity is impossible to replace,https://twitter.com/NiftyMateo/status/1493040057426587648,2,0,2493,"['thejpeglord', 'SolanaMBS', 'MonkeDAO']"
3466,Deckle_Edge,"NFT Kingdom is the Shark Tank of artists, you keep pitching for yourself till someone picks up your work in the exchange of ETH and equity (ownership) 😂😂😂",https://twitter.com/Deckle_Edge/status/1482257496593276931,9,1,16224,
4336,ReyS217,"@RealRandyChavez @VeVeViral @FosterHilt @BrockMcBreadcat @TapsTrades @Asiandan1 @cavellanderson @SurprisedCat @reverendalexg @thecomicway @Wenlopezn @nft_pirates @ComicsandCrypto @CryptoRainn @StayingAlpha @andreijikh @steveyphil92 @johnnydunn777 Dude, I don’t ever say this to anybody, but the level of conviction you have on this project to have sold off all your equity and putting into this project is commendable. I wish you success. I have bought a substantial amount of OMI, plan for more, but nowhere near your level.",https://twitter.com/ReyS217/status/1464315822919192577,2,0,17,"['RealRandyChavez', 'VeVeViral', 'FosterHilt', 'BrockMcBreadcat', 'TapsTrades', 'Asiandan1', 'cavellanderson', 'SurprisedCat', 'reverendalexg', 'thecomicway', 'Wenlopezn', 'nft_pirates', 'ComicsandCrypto', 'CryptoRainn', 'StayingAlpha', 'andreijikh', 'johnnydunn777']"
