,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
9515,tartz_nft,@DiscoverXnft @NFTethics You’re all I see on my timeline wtf. You win the Twitter algo game,https://twitter.com/tartz_nft/status/1494372938220392457,10,1,2252,"['Discoverxnft', 'NFTethics']"
2804,Mr__Gollum,"@NFTethics @moonbirds_xyz Amazing to see how silly this account has become. Could be playing a useful role in the space, and instead doing bad attempts at tabloid journalism.",https://twitter.com/Mr__Gollum/status/1514974268307779593,4,0,1183,['NFTethics']
7194,nft_swagger,"@theBlondybird @NFTethics I already donated to a charity specifically aimed at Ukraine. And yes, also looking at NFTs created by Ukrainian artists.",https://twitter.com/nft_swagger/status/1496831053083725824,2,0,129,"['theBlondybird', 'NFTethics']"
9152,wilxlee,@kaiwen82 @NFTethics Greed,https://twitter.com/wilxlee/status/1494714170138193922,3,0,83853,"['kaiwen82', 'NFTethics']"
5899,DeFiDegen23,@Poseidon_SF Lol that's not true. We already had many cases where influencers promoted rugs in the nft space. Take a look at @NFTethics,https://twitter.com/DeFiDegen23/status/1504146405438361602,1,0,388,"['Poseidon_SF', 'NFTethics']"
1284,_benxit_,@Gabadadi @boredape1234 @NFTethics 6-8 ETH is more than most people around the world make in an entire year,https://twitter.com/_benxit_/status/1520954627222491136,2,0,10713,"['Gabadadi', 'boredape1234', 'NFTethics']"
15145,rxc_eth,"@NFTethics Then everyone gets their exit and a mega corporation just bought a bunch of JPEGs 😂

I call that a win.",https://twitter.com/rxc_eth/status/1486339246717865988,67,0,4335,['NFTethics']
12470,GutterCostco,@LVSA_lol @rugpullfinder @NFT_watchdog @NFTethics Hopefully NFTEthics comes back OR hands their information to another account. That would be cool too,https://twitter.com/GutterCostco/status/1491230030663352323,1,0,2970,"['LVSA_lol', 'rugpullfinder', 'NFT_watchdog', 'NFTethics']"
5196,hosssbender,"@EKC_DAO @0xHustler @NFTethics It’s wild people will still mint, and it’s going directly to this dudes pocket 🤣

Then when it goes to 0 he will pull the “crypto is like sex card, don’t forget to pull out” hahaha people are WILD when they are bending a project they fail to believe is a scam haha",https://twitter.com/hosssbender/status/1506259528693780482,2,0,1742,"['EKC_DAO', '0xHustler', 'NFTethics']"
65,jotagezin,"@NFTJAY44 @rugpullfinder @NFT_Awareness @AntiScamSquad @zachxbt @NFTethics @cryptoShields @nftwhalealert mmm I see, thx fam",https://twitter.com/jotagezin/status/1529580685987569664,1,0,379,"['NFTJAY44', 'rugpullfinder', 'NFT_Awareness', 'zachxbt', 'NFTethics', 'cryptoShields', 'nftwhalealert']"
10487,m1s0_eth,@PopeyesNFTs @NFTethics is either trying to attract attention and followers or they are incompetent. Coming up on a launch day with so much FUD and no evidence to back it up is unacceptable imo. A real shame.,https://twitter.com/m1s0_eth/status/1493733451484254212,4,0,12183,"['PopeyesNFTs', 'NFTethics']"
16340,0x541nt1,@stellabelle @NFTethics One of beanie alt account or his accomplice 🤣,https://twitter.com/0x541nt1/status/1483173385329078272,3,0,2997,"['stellabelle', 'NFTethics']"
16766,VeVeViral,@Gastou_NFT And I would only retweet it if you gave me a small cut like a true statesman ✊ #Ethics,https://twitter.com/VeVeViral/status/1469150101729853441,3,0,16022,['Gastou_NFT']
2015,NFT_Awareness,"@NFTethics IDK why people keep coming in your comments and being contraians.

It's terrible what many govts are doing, especially the Saudis.

All it takes for Evil to win is for good people to not say the truth.",https://twitter.com/NFT_Awareness/status/1518660451055423488,7,1,5079,['NFTethics']
