,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
962,Katara_NFT,@EthernalsNFT had an impressing launch... really gamechanging in its fairness and avoiding bots in a remarkable way! #nft #nftart,https://twitter.com/Katara_NFT/status/1452692609357525003,2,0,1652,['EthernalsNFT']
1425,Faicelwa123,"New🔥
 @trace_network will use @chainlink Randomizer for $TRACE IDO #Whitelisting lottery process. It guarantees fairness &amp; transparency removing any possibility of tampering with TRACE IDO whitelisting process.
👇
Read more about it here https://t.co/EanOjD8X9o
#NFT #BlingItUp https://t.co/LD5LVW8549",https://twitter.com/Faicelwa123/status/1403765600896290819,11,4,1905,"['trace_network', 'chainlink']"
57,Rifat88017164,"@PolkaFoundry @XMetaverse_ In promoring fairness and equality among all of your users, can you explain to us the probability of acquiring a rare and unique NFT out of your pack drops? Will the contents within the packs be randomized?🌱",https://twitter.com/Rifat88017164/status/1526940706606284801,0,0,70,"['PolkaFoundry', 'XMetaverse_']"
114,TaffyTips,@oneinaneillion @shanicucic96 @PGodjira 😂😂😂 2 unbelievable communities in fairness. Both give me tremendous vibes about the entire NFT space. Purely based on the fact Shan and volt ain’t failing,https://twitter.com/TaffyTips/status/1521049500491841537,2,0,1489,"['oneinaneillion', 'shanicucic96', 'PGodjira']"
13,BNBTC_on_BSC,".#DiamondHands 

Perseverance

Resilience

Strength

Innovation

Fairness

Transparency

Neutrality

...we can add many more...

--&gt; the perfect mix for success 🏆

https://t.co/eiyNhzFyDi

#BNbitcoin #BNBTC #Binance #BNBchain #BNB #Bitcoin #BTC #Crypto #DeFi #HODL #NFT #NFTs",https://twitter.com/BNBTC_on_BSC/status/1530098707378618368,9,3,10587,
1368,Agx6MS5sa63zvwp,@realmaskbook @Jihoz_Axie @AxieInfinity @suji_yan Will the rarer NFT make the game faster and affect the fairness of the game?,https://twitter.com/Agx6MS5sa63zvwp/status/1422512168012894208,1,0,41,"['realmaskbook', 'Jihoz_Axie', 'AxieInfinity', 'suji_yan']"
1380,ghaladhrielle01,"@Smart_NFT_News @DFSocial_Gaming @chainlink @DFSocial_Gaming's leverage of the Verifiable Random Function of @chainlink will be including randomized generation of non fungible tokens and random draws. Along with the randomization and the fairness, stability and security will also go hand in hand.",https://twitter.com/ghaladhrielle01/status/1417483152143044621,1,0,174,"['Smart_NFT_News', 'DFSocial_Gaming', 'chainlink', 'DFSocial_Gaming', 'chainlink']"
594,ChaserMaveric,"@HighRollerHC @discord @YouTube @SOL_SNATCHER $RoLL $RoLL, just like token doing- 10x plus since ~2wk release, HRHC just putting up mad/clean games that keeps ppl coming, Premo-Cino w/3rd party verified fairness of games, 100 SOL payout yesterday. If u don't see value in being HODL'r come double up for your NXT NFT gamble",https://twitter.com/ChaserMaveric/status/1491968663540441091,4,0,2063,"['HighRollerHC', 'discord', 'YouTube', 'SOL_SNATCHER']"
241,MohamedTanishq,"@GlobalCrypto12 @marble_heroes Usually, NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them.
How would #marble_heroes promotes fairness and equality to its players?
Do the skills of the players matter more than the character?",https://twitter.com/MohamedTanishq/status/1512283629568724998,0,0,56,"['GlobalCrypto12', 'marble_heroes']"
685,nft_watcher_bot,"GIVEAWAY WINNER: @yaskman16 
Giveaway was all done on chain with this contract https://t.co/tMROJBZPY7 . If you want to verify the fairness: I did 4 drafts which creates 4 different random seeds and drew a winner from the last seed which was draft number 3. DM me @yaskman16",https://twitter.com/nft_watcher_bot/status/1484062390597545986,2,0,569,"['yaskman16', 'yaskman16']"
