,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
778,artano__io,"Inclusivity is Artano’s core pillar, and we are delighted to host the auction of an NFT project that brings new, diverse ideas to the NFT space and the Cardano blockchain💜 https://t.co/ElMXAz8vOA",https://twitter.com/artano__io/status/1496197410686701574,21,2,8210,
1371,CabuCats,He has been a leading voice for making the NFT space more inclusive and a testament to that fact is his project @TheGlitches_  which was a free to mint NFT project and is focused on inclusivity &amp; diversity. 👏🏼,https://twitter.com/CabuCats/status/1458520594043994114,11,2,5416,['TheGlitches_']
1394,PatrickCourtney,"gm - still v bullish on NFTs but gotta say @NFT_NYC has exposed some real issues.  We need more openness, inclusivity, education.",https://twitter.com/PatrickCourtney/status/1455876339169435648,2,0,1318,['NFT_NYC']
731,Delta_Flip,"#NFT Spotlight: We❤️ @worldofwomennft A celebration of representation, inclusivity, and equal opportunities for all💜 10K NFTs of diverse &amp; powerful Women 🌈 by @YKarkai  // https://t.co/3hpENbY8V4

#NFTCommunity #NFTs #NFTartist #NFTProject #nftcollector #deltaflip #nftwagering",https://twitter.com/Delta_Flip/status/1499096465255419906,39,16,1600,"['worldofwomennft', 'YKarkai']"
204,womenofweb3co,"Web3 Inclusivity Summit is a first-of-its-kind virtual event aiming to bring together Web3 women, LGBTQ, non-binary &amp; people of colour founders, NFT &amp; DAO leaders, and investors for two days of talks and panels. 

RSVP here ➡️ https://t.co/GEPBge6Hlx",https://twitter.com/womenofweb3co/status/1518708115050532872,1,0,3447,
946,EcoLabsDAO,"A 🧵 about Interoperability, Inclusivity. Accessibility, &amp; Sustainability in crypto. 🍃

More than just words. They're values we hope to encourage the broader #NFT / #Blockchain / #ReFi space to embrace.

Action &gt; explanation

1/n",https://twitter.com/EcoLabsDAO/status/1488812848532787201,13,2,2979,
1490,_breannafaye,@boredape93 @jacksondame I appreciate that:) Here’s to building community and inclusivity in the NFT space 🥂🥰,https://twitter.com/_breannafaye/status/1443003794770509826,1,0,5911,"['boredape93', 'jacksondame']"
1184,hourglass_nft,"We'll be on Twitter Spaces later with our friends from @CrankyCritters_, @PixelLionArt (artist and co-founder of @TopDogBeachClub), and @cryptopom1 to talk about inclusivity in the NFT space. Hope you'll join us! #NFTCommunity 
https://t.co/JzTZZnEDDJ",https://twitter.com/hourglass_nft/status/1473338474778578954,20,8,3299,"['CrankyCritters_', 'PixelLionArt', 'TopDogBeachClub', 'cryptopom1']"
1139,SusieKav,"More from @newworldcurator 

...bring our more African based ways of economy and placing it within NFT space and do our own thing as opposed to asking for inclusivity of something that has never worked for us...",https://twitter.com/SusieKav/status/1478180520152420353,1,0,1330,['newworldcurator']
1568,Aj80G,@thedigitalvee I would make a NFT collection of real life superheroes... no animals/fruits... maximum inclusivity... good female/trans characters...with the collective voting on supporting underfunded charity projects. Would create addition of avatars classic public domain rom games,https://twitter.com/Aj80G/status/1412517205024063497,2,0,218,['thedigitalvee']
1167,PixelSaurusNFT,"FYI… we don’t do whitelists or obsess over floor prices. We’re in this for years not months and this model is already working really well for us. Inclusivity is also about allowing as many of you to be part of PixelSaurus as possible! 💚🦖🦕
#NFT #NFTs #NFTCommunity",https://twitter.com/PixelSaurusNFT/status/1475434785485078532,14,1,8112,
818,takeupspacehq,"4) COMMUNITY - We spoke in a space earlier this week (thanks @ExpansionPunks!) and are wanting to speak more on inclusivity &amp; diversity in web3. 

Key focus though is our discord - our aim is to have it ready for launch by the weekend! This won’t be your average discord y’all😎",https://twitter.com/takeupspacehq/status/1494428129619755011,4,0,3886,['ExpansionPunks']
679,PerelloLaurent,"🙏💪🤟
We are with you @justinsuntron and we keep on building, while some are talking 😉
#GrandHackathon2022 
#Web3 #DeFi #GameFi #NFT #TRON #BitTorrent #BitTorrentChain #TRONICS #inclusivity",https://twitter.com/PerelloLaurent/status/1501145112943996928,38,3,10504,['justinsuntron']
1480,NFTFOMO1,"NFT fam!

I‘m a huge admirer of @worldofwomennft: a project that was created to bring more diversity &amp; inclusivity to the #NFT space.

""NFTs: Where are the women? with @YKarkai and Ralph from World of Women""

➡️Full interview (@Ledger) here:
https://t.co/XwBP96voFA

#WorldOfWomen",https://twitter.com/NFTFOMO1/status/1445381421376413707,5,2,6147,"['worldofwomennft', 'YKarkai', 'Ledger']"
540,Flipqu33ns,"@oneunderscore__ @smdiehl Capital will always be needed to carry the build. But perhaps we can trigger the inclusivity that we have all envisioned for the metaverse #web3 #NFT by first changing our project backers, else this new world will be a copy paste of the flawed universe we have now…",https://twitter.com/Flipqu33ns/status/1505350304308424705,5,0,814,"['oneunderscore__', 'smdiehl']"
1566,lucclop,"IMO. 

NFT is about open doors, opportunity, inclusivity &amp; diversity. It has shown huge potential. 

So it’s sad to see tweets calling for more closed doors, less opportunity. 

For example, NFT collectors should only buy from someone with a big IG history. 

This isn’t progress.",https://twitter.com/lucclop/status/1413045439696416769,3,0,5358,
213,GuthrieEd,"Inclusivity Value is The New Meta, My Thesis

Vee Friends checks my boxes for this

Established Blue Chip NFT ✅

Great Team ✅

Showing Real World Utility, VeeCon  ✅

Expanding the ecosystem at a low entry point ✅

Public Mint is today, entry on OS is around 1 ETH

@veefriends",https://twitter.com/GuthrieEd/status/1518599775339401216,3,0,2908,['veefriends']
385,cryptscp,Metaverse a tool for gender inclusivity - ฺBangkok Post https://t.co/hluuUjgSU5 Buy BTC: https://t.co/NvvKJPEqZ8 #metaverse #crypto #nft #vr #blockchain #meta https://t.co/mOauOmHyUK,https://twitter.com/cryptscp/status/1511351735213858818,0,0,1781,
954,ayoonis,"Just purchased @worldofwomennft #2800 on @opensea! World of Women #NFT celebrates inclusivity and equal opportunities!

https://t.co/RFCCqE13uU https://t.co/5MnD4D3H4y",https://twitter.com/ayoonis/status/1488342489014677505,18,6,2204,"['worldofwomennft', 'opensea']"
771,CryptoPuca,"@guppygangnft @CyberKongz CYBERKONGZ 

CyberKongz are on the advisory board.

This collaboration is aimed to expand access and promote inclusivity in the world of gaming and NFT’s. 

Accessibility for everyone is a common mission shared between the two brands. 

4/17 https://t.co/5dCnl2HpzX",https://twitter.com/CryptoPuca/status/1496548886684520449,6,1,17194,"['guppygangnft', 'CyberKongz']"
291,Kinder_NFT_art,"@garyvee @V1Cryptopunks @cryptopunksbot Punk #7756, meet your @pridepunks2018 cousin! 🤝♥️🌈
  ⛏️ OG #HistoricalNFT from 2018
  🥇 1st #cryptopunk derivative
  🏳️‍🌈 $100k+ raised for a DAO supporting LGBTQ+ representation and inclusivity in web3
  ♾️ Perpetually funded by secondary market sales https://t.co/tOdXpwixuF",https://twitter.com/Kinder_NFT_art/status/1515533756827906053,2,0,784,"['garyvee', 'v1cryptopunks', 'cryptopunksbot', 'pridepunks2018']"
966,0xS10E,@YourFriendM_eth @0xApes_NFT Welcome to the #yellowtribe! That is a dope Dr. White! 🔥 Agreed 💯 on what you said last night about women in NFT and affordability is also a part of inclusivity! 🟨 #0xApes #YellowArmy https://t.co/Zw2Oqm2Ce3,https://twitter.com/0xS10E/status/1487483322259238913,7,0,1831,['0xApes_NFT']
477,ABNewswire,INTERNATIONAL WOMAN NFT Is Bringing More Inclusivity to the NFT Space https://t.co/TbNaiuhSvc #Technology https://t.co/4RgaS4AyZu,https://twitter.com/ABNewswire/status/1507478837575122946,1,0,1279,
259,FXMastersMars,"The metaverse is here to stay ; however sustainability and inclusivity will determine the long term success of these projects.
What are your thoughts?
#sustainability #success #metaverse #creativeindustries #nft #tokenomics #impactinvesting https://t.co/2afoJ6wwKW",https://twitter.com/FXMastersMars/status/1516735633473126403,1,1,68,
375,orbis86_x,"Soniya's speech on diversity, inclusivity, and community at Miami NFT Week (@MiamiNftweek) reflected the very essence of Orbis86's collection of stunningly unique 3D humanoid NFTs. Addressing entrepreneurs, she said - be genuine, put the community first, and don't do it alone! https://t.co/Ncbzzpk8Pl",https://twitter.com/orbis86_x/status/1511735633273921537,6,0,23287,['MiamiNFTweek']
1267,HouseOfHasanNFT,"#ericaalexander dropping jewels🪔 #nft #BlackGirlMagic
#inclusivity
https://t.co/VFa4aoCyll",https://twitter.com/HouseOfHasanNFT/status/1468041578283470848,1,1,1164,
1126,thaka_baz,"Starting a new series this year focusing on my favourite topics: Technology, NFT’s, Digital Fashion, sustainable practises, decentralised systems, mental Health and wellness, and inclusivity! 
Like if you’re into that kinda thing!",https://twitter.com/thaka_baz/status/1478761093250129927,2,0,31,
