,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
147,namioshiro,"@MyDearBasil @Meibatsu_Prax @TeePublic teepublic please be aware that there is in fact no such thing as ""nft racism""",https://twitter.com/namioshiro/status/1519358807373230087,1,0,722,"['MyDearBasil', 'Meibatsu_Prax', 'TeePublic']"
293,sickastro1,"@queledilion @fame_ladies Yeah I think we all need to look into Sexism, racism and economic inequality. ...@fame_ladies #NFT #Woman",https://twitter.com/sickastro1/status/1504748416466931749,7,1,854,"['queledilion', 'fame_ladies', 'fame_ladies']"
200,OpyNeon,"@kangz_nft Really, I doubt you know anything about racism, Im latino and my wife is black... so fu - go and listen to fatal jay for a black perspective on lotr
https://t.co/sCHAbJmk2l",https://twitter.com/OpyNeon/status/1513212877171306496,0,0,477,['kangz_nft']
326,endiwalter,@XCLSVZER0 Smells like advanced RACISM dwelling in the shadows of NFT https://t.co/mJQUMSPR3p,https://twitter.com/endiwalter/status/1502207767062405120,105,2,510,['XCLSVZER0']
362,_omgitsjack,@metaz00 Did he just showed his racism towards an NFT PFP ? Omg,https://twitter.com/_omgitsjack/status/1499976712737914880,17,0,4101,['metaz00']
158,web3innovators,"WeAreEqual!🏳️‍🌈 
#NFT #lgbtq #pride #racism #equality",https://twitter.com/web3innovators/status/1518329608826937345,3,1,16840,
463,Adathecreator_,"The idea of a meta nft digital slave trade is all the proof you need to grasp how rooted racism is normalized. Selling nft's of George Floyd and black children as slaves is not ignorance, it is a blatant hate setting a foundation for a racial war
#Blacklivesarenotupfordebate",https://twitter.com/Adathecreator_/status/1492947057774059520,2,0,84,
292,solappii,"SO! i'm asking you to kindly tell me if i retweet or interact with a problematic artist because i do NOT support any of these : racism, pedophilia, homophobia, transphobia, misogyny, abuse of any sort, NFT.....

thank you so much! ☺️✨",https://twitter.com/solappii/status/1504767461417271298,9,1,2479,
512,AfroTech,Racism exists even in the metaverse — even in a new NFT collection — and it’s exhausting. https://t.co/k20zPgmSEy,https://twitter.com/AfroTech/status/1491049281419108352,3,1,41619,
13,CCStone8,"Somewhere b/w  Medieval &amp; Renaissance yes... 
Gutenberg Press = Internet
The Plague = COVID
Global Exploration = Space Exploration
Feudal System = Wealth Disparity 
Slave Trade = Racism
Chinese Silk Road = New Chinese Silk Road 
Tulip Mania = NFT &amp; Bitcoin
History repeating? 💯",https://twitter.com/CCStone8/status/1530803763312611328,1,0,2045,
488,zaddygho,@EDDY_BAW @stylebender @steezyapegang This is more racism than NFT,https://twitter.com/zaddygho/status/1491997339355131914,1,0,9,"['EDDY_BAW', 'stylebender', 'steezyapegang']"
170,8BITBASTERDS,"Say no to racism and fascism! Keep remembering and buy this shitty short dick! A Totally Little Short Dick. #FCKNazis #FCKRacists #Buynfts not Weapons! 
Never ever again!
#cryptoartist #opensea #nftcollectors #nftdrop #nftcollectibles #nft #nftart https://t.co/giUTKIXCJh https://t.co/f4tUYfI7Kg",https://twitter.com/8BITBASTERDS/status/1516863389825482752,5,1,143,
551,wildgenius_,"No More Racism #13
#nft #NFTs #NFTGiveaway #NFTCommunity #nftpixelart #pixelart #nftindonesia #nftcollector #NFTCollection https://t.co/MtrI2PKudC",https://twitter.com/wildgenius_/status/1489617136704438274,4,0,516,
465,BigTreyDaMonsta,Racism In The Metaverse? They Want To Sell African American Slaves As NFT's In The Metaverse! - https://t.co/gRNwmn6kLC via @Worldstar #WSHH #WORLDSTAR,https://twitter.com/BigTreyDaMonsta/status/1492922649789571072,0,1,113,['WORLDSTAR']
256,nimamo7,"Wow  name: lovely girl #0003 
You should choose this collection to support the feminist community as well as to live better together without racism. We will give an expensive nft to those who offer to buy this nft on the Open C site by drawing lots, do not miss thissurprise #nft https://t.co/gDvernNrxX",https://twitter.com/nimamo7/status/1507840646937300992,7,2,172,
72,Clearbluesky33,"@nft_enthusiast @Thusi_Kumar @raghz0906 But most Tamil always look at Muslims with suspicion n will oppress us at the first opportunity just like Sinhala govt oppressed Tamils. So it's hightime Tamils looks hard at their racism against Muslims. Don't repeat the history, we paid high price in a war we didn't take part",https://twitter.com/Clearbluesky33/status/1527771047247892483,0,0,49,"['nft_enthusiast', 'Thusi_Kumar', 'raghz0906']"
353,metaz00,@Emsky_bullrun @psychedelic_nft Totally fr. Would never use racism to farm 💯,https://twitter.com/metaz00/status/1500200627695235072,1,0,5263,['psychedelic_nft']
280,cryptogorilla69,"damn I guess the toxic (witch hunts, racism, sexism, etc) community members finally got to one of my favorite NFT projects...rip actually good art",https://twitter.com/cryptogorilla69/status/1505959578856398856,2,0,654,
232,knightzanga,@0xxghost i don't do nft but man this tweet ain't cool. this is point blank racism. no excuse can justify this reasoning. and to see  some influencers agreeing with you makes it even more messed up.,https://twitter.com/knightzanga/status/1510319938925481989,1,0,407,['0xxghost']
97,kelvinsesola,Depicting Lewis Hamilton as an Ape? behind the pretense of Bored Ape Nft? Subtle Racism 😏,https://twitter.com/kelvinsesola/status/1525031118344441858,2,0,1334,
159,web3innovators,"LET’S DO THIS! WeAreEqual! 
Don’t forget to join our Discord to help our cause 👇🏽
https://t.co/egbGFuQcQM
.
#nft #equality #racism #lgbtq #women",https://twitter.com/web3innovators/status/1518319453347459074,2,0,16840,
450,williamcoit,"I need your help…

Just received a DM from @slavesmeta 

He’s promoting this on Twitter and OpenSea

Let’s use the power of the internet to take down these racist and sexist images

#racist #racism #NFT #NFTCommunity #NFTs #BlackTwitter #BlackTechTwitter https://t.co/28ggHfpETG",https://twitter.com/williamcoit/status/1493718232527691779,7,2,80470,
40,newsasia360,"Dune Crypto Leader Quits NFT Project After Being Accused Of Racism, Homophobia &amp; Grooming https://t.co/M5rSZoOY60",https://twitter.com/newsasia360/status/1528959124268015621,1,0,976,
229,DegenResearch,"@ShadyNFT_ @arbitrum Here are 3:
1. NFT Wizard's have caused chaos with their $MAGIC.

2. Black lives don't matter on Layer 2's (reference to smithydao racism during mint) 

3. $MAGIC happens, captcha hacked, the End for 
@arbitrum?",https://twitter.com/DegenResearch/status/1510776268417286144,0,0,309,"['arbitrum', 'arbitrum']"
236,hamidehhos,"""All different, all relative""
Nothing can separate us from this truth that we are all human. And therefore why the war? why racism? why not accept all kinds of sexuality? and a thousand more why
#digitalpainting #NFTCommmunity #artist #art #NoWar #Truth #nftart
Soon nft available https://t.co/ceRodi8To6",https://twitter.com/hamidehhos/status/1509520498111270913,9,2,2326,
76,jangabussaja,"Check out my NFT listing on OpenSea! https://t.co/VJdwPP9Wci via @opensea 
Planetary Chess proposes a solution for ending systematic racism. 
#tzuracializm
#planetarychess",https://twitter.com/jangabussaja/status/1527353103804092421,0,1,50,['opensea']
197,blueflux_,"'A Face is a Tunic' 
1/1 on Rarible
0.08 $ETH
https://t.co/DhJreeh9uQ

NFT art inspired by Zadie Smiths book-'White Teeth'

Faces are like clothes to 'unbutton' (metaphorically)so that we see the same red blood that flows inside us all.(Visual depiction of the insanity of racism) https://t.co/OvgYU6I7eh",https://twitter.com/blueflux_/status/1513597626285178880,55,36,881,
125,themilleniumbug,"@DeanSteinerNFT @CollageBotsNFT  have no race, no gender, or sexual orientation. 

They are ready to embrace anyone in the NFT community. 

The goal is to spread anti-racism and anti-homophobia and bring people together through community, creativity, and great art! https://t.co/JhSz4oq2V2",https://twitter.com/themilleniumbug/status/1521443076077666304,1,0,858,"['DeanSteinerNFT', 'CollageBotsNFT']"
570,octavvvvvv,"//h word, anti nft 

Why the H word (h*xagon) is a SLUR (1/?)

DO NOT USE IT, it is wrong and hurtful to PONFTs and is deeply rooted in racism, hexagons are supposed to represent diversity and beauty but bigots are ruining it.
#NFTs #NFT #NFTCommunity",https://twitter.com/octavvvvvv/status/1488983102819082240,7,2,46,
194,clarinetmoonesc,@_steeew I mean now that sheldon has an nft he has a valid reason... mahmood just has that AND racism,https://twitter.com/clarinetmoonesc/status/1514294651628445712,4,0,2178,
284,101_racism,Thanks NFT Tracker for the follow!,https://twitter.com/101_racism/status/1505804101916975105,1,0,558,
294,ScottySkungfu,"@LegendsofAsians One of the best communities in an #NFT I've ever seen. Their mission, to combat racism and bullying of kids... and their discord got hacked. So sad to see this happen to the good. Show your support and join the project when they are back up! They deserve it. 💪",https://twitter.com/ScottySkungfu/status/1504579430144159745,3,0,144,['LegendsofAsians']
