,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
1787,imbobnfts,"We are happy to announce that BoB joined #premint  Family. #trust #transparency #security Hey guys I'm soon in the office!!! @mulligan I need the biggest door 🥕 🤣

https://t.co/95a5US2Xme
https://t.co/sSIL8jvHu7

#nft #hitelist #raffle #NFTdrop #Ethereum #nftart #imbobnft https://t.co/jFhPDWtPpW",https://twitter.com/imbobnfts/status/1510257887062511617,6,2,9190,['mulligan']
4406,indigoUan,@Yonnitheduck lmao maybe they are rolling out some sorta feature that makes transparency completely black in order to block people from faking NFT pfps,https://twitter.com/indigoUan/status/1484528780978835464,1,0,179,['Yonnitheduck']
4336,CurryKhoo,"It’s benefit for both Mentor and Entrepreneur, plus full transparency for accountability. 

The NFT will be minted in Polygon Network and available at Opensea. What you say? Who want to take part?",https://twitter.com/CurryKhoo/status/1485397475947352064,2,0,1805,
6678,the_ethernaut,"Solidity trivia #22:

You launch an NFT collection. As an artist / dev, you know which tokenId’s will be rare. Every time someone mints, you pick one at random and upload it to IPFS. How do you guarantee transparency / fairness in this process?",https://twitter.com/the_ethernaut/status/1449473885150142466,77,13,9970,
3591,TakeYChance,"@lasthopium @raammi_ @fabianpawns @pavelned_nft This is real , transparency and not only to reach more followers! Thank you 🙏 

Congratulations to all winners and welcome to the Pantheon 👽🤖",https://twitter.com/TakeYChance/status/1492512800173867010,5,1,248,"['lasthopium', 'raammi_', 'pavelned_nft']"
3446,NoriAbazar,"NFT books are gradually becoming a trend and created many “blockbusters” thanks to their special features such as enhancing copyright, ownership, transparency and promoting the process of monetization and digitization.
#WritingCommunity  #PublishEcosystem #NFTBooks #BookSwarmArmy https://t.co/BwkF3TPw7R",https://twitter.com/NoriAbazar/status/1493681004573245448,8,47,226,
2836,stellabelle,Transparency: I will have to transfer this nft to a different wallet before i accept the bid. something changed and my hw wallet cant accept bids,https://twitter.com/stellabelle/status/1499152711178145804,1,0,19669,
2065,DPubXYZ,"Discover an NFT on Zuse, bid on Zuse, but the Q and HashGuild can place bids too. All decentralized - none of us control it. 

Decentralized auction - trust, transparency, fairness, and security.",https://twitter.com/DPubXYZ/status/1506983505682591747,5,0,1092,
2547,AnuragVishwa,"Just converting Web2 app to Web3 won't work, people rarely care about decentralisation or transparency.

Rather use the super-power of web3, to eliminate the middle men and in turn provide more rewards to user.

#Web3 #blockchain #NFT #Crypto",https://twitter.com/AnuragVishwa/status/1501941498924859393,3,3,95,
4030,GallerNFT,"Our Order Book feature is all about market #transparency and matching #supply and #demand 
Learn all you need to know about our Order Book feature in our latest Medium article! 
#NFT #NFTMarketplace 
https://t.co/GQauYndmkN",https://twitter.com/GallerNFT/status/1488773203288035330,4,0,40080,
2297,crypto_morphs,"It’s not about selling out your project in the first day, it’s about doing exactly what you say you’re going to do. The most important utility is transparency. Our transactions and wallets will be public on our discord. #NFT #Etherum #nftcollector #nftart #NFTCommunityCryptoArt",https://twitter.com/crypto_morphs/status/1504513666187681793,4,1,90,
4879,wholelottajuju,"4/ As I've been preaching since the start of my degen NFT career, dev teams must be transparent to the community supporting the project in order to succeed.

Without transparency, there is a lack of trust.

Without trust, people become skeptical about the project.",https://twitter.com/wholelottajuju/status/1481380601881972739,14,1,392,
1206,NFTrell,"Most annoying thing about the NFT space is how cryptic everything is, does transparency kill projects?",https://twitter.com/NFTrell/status/1517218711903555584,1,0,635,
1352,NonFungibleEmma,"What are your top 3 Social Impact NFT projects 👀 Mine are: 
1️⃣ @WomenriseNFT aiming to open a school in the metaverse
2️⃣ @HoneyBadgesNFT with their change makers programme
3️⃣ @meta_angels who aim to increase #Generosity #Transparency &amp; #Accessibility 

#NFTs #socialimpact #web3",https://twitter.com/NonFungibleEmma/status/1515263023392468995,99,11,1731,"['WomenriseNFT', 'HoneyBadgesNFT', 'meta_angels']"
5364,AMEY55254729,I think this project will be successful as transparency and safety is exactly what we need to strengthen in the crypto world. Team is very strong and does everything wisely. #lepasa #nft #blockchain,https://twitter.com/AMEY55254729/status/1473885625501696004,2,0,1654,
1374,0xyourfren,"@smolgrrr @nftfren @smols_nft 7000 smols total supply (This includes honorary ones)
CC0 after mint
0.049 mint price
15% to community wallet
50% of royalties to community wallet 

Displayed in all transparency from your very honest and genuine, fren",https://twitter.com/0xyourfren/status/1514915808241192965,1,0,3287,"['smolgrrr', 'nftfren', 'smols_nft']"
2862,VinnieETH,"2 /  Many people avoid the #NFT and #Crypto world simply due to lack of transparency from projects or the fear of being rugged by selfish ambition. 

In reality the best thing for those who know the power/freedom  #Web3 can offer is to share what we learn and guide those in need.",https://twitter.com/VinnieETH/status/1498818686131445762,5,1,4569,
