,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
5373,diizzyyy66,"Delighted with my @billionairebnkr reveal rarity rank #248 🧠 

Why I'm hodling
- Over 200k in the discord🎉
- Trading Course from Ex 5Star Trader⭐️
 - Royalties from NFT analysis software🚀
- Metaverse land🌎
- Transparent leadership🐈
LFG! 
#NFTCommunity #NFTs #NFTCollection https://t.co/2EQx2Y8aAS",https://twitter.com/diizzyyy66/status/1484517611518021635,1,1,163,['billionairebnkr']
8082,tdk__Joker,@Freak3699 @psychedelic_nft @Tgood_3223 @juan2step1 @WheezinNFTs Yeah bro! I listened entire space! My wife was mad for not spending time with her but it was all worth it! I had no clue who real @BAYC2745 was and had doubts.. but after hearing him out I can 100% tell that he is the most transparent honest guy in NFT SPACE!,https://twitter.com/tdk__Joker/status/1461194958191435776,5,0,275,"['Freak3699', 'psychedelic_nft', 'juan2step1', 'WheezinNFTs', 'BAYC2745']"
9980,StrandedVerse,"@cryptobits72 @NeopetsMeta @RolexanaNFT @RatSolBastards @SolnightRiders @FluffyKittenNFT @BattleDronesNFT @RAM_NFT @Idle_Planets @DanerobNFT @mutantdogsclub @solanabeauties @HippoFamilyNFT @MiniMechaNFT We go live every weekday to talk about our supply and share our face in every video plus we have 160k+ followers on tiktok with our company name and faces very transparent
And we want to have a million nft owners playing our dozens of games someday so we're not trying to be a pfp",https://twitter.com/StrandedVerse/status/1453685126307721218,3,0,9288,"['cryptobits72', 'NeopetsMeta', 'RatSolBastards', 'SolnightRiders', 'FluffyKittenNFT', 'RAM_NFT', 'DanerobNFT', 'mutantdogsclub', 'HippoFamilyNFT', 'MiniMechaNFT']"
8388,NftTickets,"@shtbrns @_ed3k @LuluCatto @IkBenStokoud @Mishaniz @jasoncitron @packyM @mariogabriele @discord And the good news is: it does exist ! More than you might realize :) check for example NFT Ticket Explorer:

https://t.co/Zb630l08q2

All used by non crypto savvy users, paying fiat money for their tickets.
All transparent transactions allowing for a controlled secondary market.",https://twitter.com/NftTickets/status/1459436554015887363,14,0,2573,"['shtbrns', '_ed3k', 'LuluCatto', 'IkBenStokoud', 'Mishaniz', 'jasoncitron', 'packyM', 'mariogabriele', 'discord']"
5451,christovonn,Being part of @psychedelic_nft is a total Life/game changer 4 me! @BAYC2745 makes it a point to be transparent and makes everyone feel included! I love ❤️ our community!  Everyone is amazing and active! It's like no other #NFTProject The Original Art and Daily Twitter spaces!👍🙌 https://t.co/T65aIFBhj3,https://twitter.com/christovonn/status/1483971199709417482,9,1,2650,"['psychedelic_nft', 'BAYC2745']"
14230,airdropday77,"@DRT_BSC This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting for the progress of this project
@FatkhurokhmanI 
@FathoniSandy 
@somisagon 

#DragonTraining $DRT #Airdrop #NFT #DRT_BSC",https://twitter.com/airdropday77/status/1427633398957412357,1,0,246,"['FatkhurokhmanI', 'FathoniSandy']"
14107,symonultvdo,"@Monsta_Infinite So excited about this project. The roadmap and whitelist are transparent &amp; projected. I think and hope that in the near future we will see a huge growth of this project! 

@ScrappyChii 
@amoralmoguerajr 
@ChrstnLyn 

#MonstaInfinite #MONI #PreSale #NFT #Blockchain #cryptocurrency",https://twitter.com/symonultvdo/status/1429479658563661826,1,1,94,"['Monsta_Infinite', 'ScrappyChii', 'amoralmoguerajr', 'ChrstnLyn']"
5447,vilonit,@dogen_hghar @BAYC2745 @psychedelic_nft I agree With you. You guys are the most transparent by faaaaaaaaarrrrrrrr.,https://twitter.com/vilonit/status/1483983105518186504,2,0,64,"['BAYC2745', 'psychedelic_nft']"
8225,Neharaisa90,"#Metaverse #NFT #MOVR

This project will be big, because it includes a structured, creative, innovative, compact and transparent team. I hope I can be a part of this great project.",https://twitter.com/Neharaisa90/status/1460544958859935747,3,0,15,
6943,ibuvi2,"@HarmonyLauncher A good project and strong team in a predictable and transparent road map, planned and projected, this is very interesting project.⚡💥🔥❤️💯

@GaziIbrahim14

@Md_emran23

@touche_toushea 
#Airdrop #Crypto #NFT",https://twitter.com/ibuvi2/status/1467193557282820100,1,0,46,"['HarmonyLauncher', 'GaziIbrahim14', 'Md_emran23', 'touche_toushea']"
11879,Rachelpotts76,"@polygonbulls This is excellent NFT for the future with strong created team, a transparent, planned and project roadmap it will be successful.
 
@HKroupy
@tymenepozna
@prcinka099999
@UnnamedHater
@goldseeder1
#NFTdrop #NFTCommmunity #NFTcollectibles #polygonNFT #Polygon #Airdrop #NFTs #Bulls",https://twitter.com/Rachelpotts76/status/1445371838109032452,1,0,33,"['HKroupy', 'tymenepozna', 'prcinka099999', 'UnnamedHater', 'goldseeder1']"
7657,HeinPyaeSone13,"@punkshibaEN This is excellent project for the future with strong team, a transparent, planned and project roadmap. It will be successfulI.Always be waiting for the progress of this project ❤️❤️
@ShunnleiK
 @Ahmdrif93819512
@mavi_itsme
#PUNKS #NFT #BSC",https://twitter.com/HeinPyaeSone13/status/1463614755147370496,0,0,157,"['punkshibaEN', 'ShunnleiK', 'Ahmdrif93819512']"
9910,solidreturns,@Yourpop8 @JakeGagain #NFTCommunity #NFT #NFTdrop #cryptocurrecy #Crypto #cryptocurrecy #SaitamaWolfPack #SHIBARMY #shiba #shibainu #AidiVerse get in on this. Will b another #Saita with 9 zeros right now! Transparent devs. AMAs multiple times per week!,https://twitter.com/solidreturns/status/1453835963294121984,1,0,420,"['Yourpop8', 'JakeGagain']"
2726,eric_3e,"#PROPEL #LATOKEN #Defi
This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI.❤ @propelxyz #nft #Crypto #ckay #CryptoNews https://t.co/wujiCyYc1B",https://twitter.com/eric_3e/status/1505581317098020867,5,2,529,['propelxyz']
