,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
2599,Sophia29706296,@CryptoKing_NFT Source: TRUST ME BRO!,https://twitter.com/Sophia29706296/status/1526547985534169089,1,0,0,['CryptoKing_NFT']
11450,TaisonArt,"@BenjaminBitcoin @_nft_baby_ Gm dear Benjamin! There is a good saying: trust but verify.
Have a great day 
Btw it’s really very beautiful artwork",https://twitter.com/TaisonArt/status/1513462428515848198,1,0,1501,"['BenjaminBitcoin', '_nft_baby_']"
21286,Enemy_Sheep,"NFTs are currently the most viable market to invest in, without a doubt this is the time for metaverses and NFTs. But don't forget, cryptos will always be stable and secure. Know how to study the projects in which you are going to trust your investment. #Bitcoin #NFT #Crypto #inv https://t.co/Ub66IYyR9A",https://twitter.com/Enemy_Sheep/status/1497357579491573760,3,1,12,
21421,BillyNotBaz,why do people trust NFT or any typa crypto currency things??? that shit is all a scam,https://twitter.com/BillyNotBaz/status/1497034989007155200,1,1,380,
41169,AndyCsChan,@shibaa_token #NFT shib not only give people monetary hope but it’s also a tool to unite people all round the world. My trust wallet address: 0xD9AF96861dE6992b299e9aC004Aa4c68771d0815,https://twitter.com/AndyCsChan/status/1448646064035172365,1,0,1397,['shibaa_token']
32118,alexcreated_,@NFT_French @KBabyApes Trust you won't regret it. We are building schools !,https://twitter.com/alexcreated_/status/1476698746792681479,1,0,164,"['NFT_French', 'KBabyApes']"
39980,Merazul89984848,"I trust this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future and will be the best.I love it ❤❤❤

@Manik60341193

@SobujNishad
 
@FazalRabie7
 
@ArianSaidur

$RPG #GameFi #NFT",https://twitter.com/Merazul89984848/status/1452899581163827200,1,0,289,"['Manik60341193', 'SobujNishad', 'FazalRabie7', 'ArianSaidur']"
2634,iam_AdithyaM,@16AJ29 @Rap Ratio bozo+ metamask support help metaverse support trust wallet support help Ethereum cardano Ada seed phrase binance support issue NFT stolen crypto stuck not working binance coin bored ape lazy lion shiba inu trustwallet hacked dogecoin catecoin help cryptopunk solana,https://twitter.com/iam_AdithyaM/status/1526488078256263169,4,8,812,"['16AJ29', 'Rap']"
25046,newmodels_io,"Norwegian artist @BjarneMelgaard  speaks to New Models about his foray into the cryptoverse with his first NFT project, @LightbulbmanNFT—which, in true Melgaard-form, touches the limits of trust in a so-called trustless system.
https://t.co/2I0419FXvh",https://twitter.com/newmodels_io/status/1490653680156217346,15,4,6963,"['BjarneMelgaard', 'LightbulbmanNFT']"
40099,FajarLa20,"@demoleio I trust @demoleio with such an enthusiastic and excellent team,I believe will be impresive and great project.I trust this project can be successfully.  
@sukmacuy70 
@juragan385 
@ponyoungmin  
$DMLG #Demole #GameFi #Playtoearn #NFT #Defi #3Danimation #Crypto",https://twitter.com/FajarLa20/status/1452553092260511745,1,1,7,"['demoleio', 'demoleio', 'sukmacuy70', 'juragan385', 'ponyoungmin']"
14612,_vonBoyage_,"@Machina_NFT But Rat has NEVER told Yeong about the result of his actions all those years ago, and a recent revelation threatens to shatter all the trust and bonds that were forged over the years... What will happen to the father-and-daughter duo now? Who knows? 

@Machina_NFT @longjonesilva",https://twitter.com/_vonBoyage_/status/1509399468877123590,4,0,32,"['Machina_NFT', 'Machina_NFT', 'longjonesilva']"
43056,SetyaRefanda,"@OperonOrigins @avalancheavax I trust this is a great project. hopefully the project will be better in the future and will be the best.

@RezaOctaviana @Izzaisk1 @DK_KOPLAK

#blockchain #games #nft",https://twitter.com/SetyaRefanda/status/1441329527620182025,1,0,9,"['OperonOrigins', 'avalancheavax', 'RezaOctaviana', 'Izzaisk1', 'DK_KOPLAK']"
12944,w1nt3r_eth,"The dream of on-chain royalties is still relevant, though. ERC721 and ERC1155 are very composable, but they give no choice to the creators but to trust marketplaces.

Also, you could always sell an NFT to a friend for cash or 2 pizzas &amp; skip royalties.",https://twitter.com/w1nt3r_eth/status/1511445311964688389,2,0,10118,
18285,shadowbIood,@powerpc_rlwinm got hacked on Instagram I will literally pay someone to write this essay about trust wallet my account got disabled need logo school help need banner need design need gfx metamask buy followers bot cashapp venmo call of duty hacked crypto account dogecoin shiba disabled nft,https://twitter.com/shadowbIood/status/1503245906530947072,12,0,5675,['powerpc_rlwinm']
