Topic,Word,Tweets
0,join,"Changemaker #721 has found a new home with the brilliant George Gillette from LinkedIn! 🌈

Big welcome to George, thank you for supporting and joining the most diverse &amp; inclusive community in web3! 🙌🏽 https://t.co/9qRXvskqZj"
0,join,"Changemaker #721 has found a new home with the brilliant George Gillette from LinkedIn! 🌈

Big welcome to George, thank you for supporting and joining the most diverse &amp; inclusive community in web3! 🙌🏽 https://t.co/9qRXvskqZj"
0,join,"Have you joined the PixelSaurus family yet?

💥 Family friendly project!
💥 Safe &amp; secure minting!
💥 Innovative Utility!
💥 Non-generative art!
💥 Individual backstories for each #NFT!
💥 Diverse &amp; inclusive!
💥 VERIFIED #OpenSea account!

Mint Here:👇
🔗 https://t.co/MhGyUSfkpv https://t.co/jwM1EkTlEG"
0,join,"It's not too late to join the $TRUST DAO and earn passive income from the #TrustVibes app when it launches Q4. 
All you have to do is farm your rewards in our @rarity_garden Legends Farm*
🔗https://t.co/8qAHZFT0ik
👊🔥💎 #BNB #ETH #Crypto #NFTMarketplace https://t.co/3LFKwTx3aB"
0,join,"19/ Other big NFT influencers have dubious pasts, but have made their millions, and are now part of the “establishment” hoping that nothing will ever come out. New people joining this space won’t have any idea and this information is only known by a very small group of people."
0,giveaway,"1/ We received quite a lot of requests to look at @metamansionsnft, which is minting later this week. The mint price alone (0.88 ETH) is already a red flag, but there are many more. They are doing a “giveaway” of 888 ETH (10% of the mint profit) but only when it sells out AND…"
0,giveaway,30/ They recently had a giveaway but the wallets that they mentioned as being the winners of that giveaway were made-up wallet addresses – they don’t exist on the blockchain. https://t.co/6dO6ftTcFI
0,giveaway,"ANYONE who mints a PixelSaurus Tri from #0710-#1050 will AUTOMATICALLY be in the running to WIN an @apocalypticapes #NFT (#7176), at the end of our mint. 🎁

Winner will be picked LIVE with the Wheel Of Names! #nftgiveaway #transparency #nfts #AApes

🔗 https://t.co/AibesNcvw9 https://t.co/CcPeLUKmW7"
0,giveaway,"1/ We received quite a lot of requests to look at @metamansionsnft, which is minting later this week. The mint price alone (0.88 ETH) is already a red flag, but there are many more. They are doing a “giveaway” of 888 ETH (10% of the mint profit) but only when it sells out AND…"
0,giveaway,"ANYONE who mints a PixelSaurus Tri from #0710-#1050 will AUTOMATICALLY be in the running to WIN an @apocalypticapes #NFT (#7176), at the end of our mint. 🎁

Winner will be picked LIVE with the Wheel Of Names! #nftgiveaway #transparency #nfts #AApes

🔗 https://t.co/AibesNcvw9 https://t.co/CcPeLUKmW7"
0,opensea,"In the Metaverse, we meet Cybergirl Luloa ⚔️✨ 

1/1 NFT listed on opensea in the DIVERSE METAVERSE collection 👀🔥https://t.co/p5s2RSF9n6

#WomeninNFTs #NFTs #NFTCommunity #galaxy  #trippyart #cybergirl #Metaverse https://t.co/XZHTrBFNLR"
0,opensea,"💚 DIVERSE METAVERSE 1/1 NFT !!! 💚
'Follow us ' 👽 listed on @opensea 

 ✍️ 0.015Eth #PolygonNFTs 

🔗https://t.co/QvHIsSJmAu

#WomenInNFTs #NFTCommunity #OpenSeaNFT #NFTdrop #NFTCollection https://t.co/87sHXlpie9"
0,opensea,"NEW DIVERSE METAVERSE NFT DROP !!! 🌙
 
Why do humans make everything hard work? 1/1 piece listed on @opensea ✨

 ✍️ 0.012Eth #PolygonNFTs 

🔗https://t.co/ZHNLxGvOTi
#WomenInNFTs #NFTCommunity #OpenSeaNFT #NFTdrop #NFTCollection #nftperks https://t.co/l9MTOpOKU9"
0,opensea,"Somewhere in space 1/1 👽 is now owned by @jakekeane0 , I'm honored to be your first NFT! Thank you for adding this piece to your collection  🙏❤️‍🔥👽

DIVERSE METAVERSE collection on @opensea  #NFTCommunity  #NFTdrop #NFTGiveaway #PolygonNFT #nftowner https://t.co/d54A8Ostez"
0,opensea,"I arrived on this world with my alien friend
 ✨👽🔥 1/1 NFT in the DIVERSE METAVERSE collection ⬇️

https://t.co/kzyrYnJyqN

#WomeninNFTs #alien  #NFTs #NFTCommunity  #opensea #WomeninNFT #metaverse #animation https://t.co/ZR3tlfCQig"
0,check,"@NFTherder We lack the resources/time to check each and every project properly and specifically mentioned NEW people not to mint. Proof is also very hard to find before mint, when it is most urgent to warn people but we see a clear pattern. We hope more people invest time into research."
0,check,"NFT Holders of the DIVERSE METAVERSE / GALAXY GIRLZ collection... check your hidden 👀 I have sent you a 1/1 'Self reflection'❤️‍🔥 anyone who purchases an NFT today, receives this rare 1/1  piece ❤️‍🔥 #nftcommunity #WomenInNFTs #nftholders #NFTdrop https://t.co/TRVG3Tgf91"
0,check,"We wish we had this a month ago!

To onboard more underrepresented groups into #web3, we need transparency and free flow of knowledge &amp; insights, especially with the beast that is launching an #NFTProject!

Highly recommend all new (or wannabe) NFT Creators check this one out. 🙌🏽"
0,check,"24/ When we checked the status of Corporation Registration Number associated with RGT, it shows that registration was discontinued on 15 April 2020, even though the casinos have been operational after that and still are to this date. https://t.co/T4MNToXQD6"
0,check,"@NFTherder We lack the resources/time to check each and every project properly and specifically mentioned NEW people not to mint. Proof is also very hard to find before mint, when it is most urgent to warn people but we see a clear pattern. We hope more people invest time into research."
