,Word,Tweets
0,research,"Finally. We literally have thousands of DMs, but were never able to search for any specific information in all those DMs which makes research unnecessarily tedious. Good news for us, but less so for all the people &amp; projects that are about to be exposed.
https://t.co/AGxvMmj6Wg"
1,research,14/ Many people now start to notice that our statement below was not an exaggeration. It served as a real warning to really do your research and see the characteristics that all these scam projects have in common (in the same way you distinguish spam emails from legit ones). https://t.co/gyYHnKYMEH
2,research,"@NFTherder This is a time-sensitive problem. Next time we will do a couple of weeks of proper research and after tens of thousands of people have lost money on something that we could have warned them for in advance, we will have proper evidence and proof. Of course then it's too late."
3,research,"9/ It took us less than 30 minutes of research, but it can save many people a lot of ETH."
4,research,"@NFTherder This is a time-sensitive problem. Next time we will do a couple of weeks of proper research and after tens of thousands of people have lost money on something that we could have warned them for in advance, we will have proper evidence and proof. Of course then it's too late."
0,website,"35/ After many complaints and suspected DOS attacks against competitor websites, Beanie apparently came under investigation by Canadian and US enforcement authorities and https://t.co/6sxOk3Wfz0 was discontinued. https://t.co/jhBq3cAuoy"
1,website,"1/2 - Dear @andy8052, as the founder and CEO of @fractional_art, we noticed that Beanie/GM Capital claims to be an investor in Fractional. Please see the screenshots below on two of his main websites. https://t.co/CuaOtqdvOU"
2,website,"16/ And the CEO of Kungarna is of course TFGmykL (TheFortniteGuy, Michael Padilla) and we could have done a big thread about him alone.He was initially listed on the Bapes website as an advisor, but has been replaced by another person. We wonder why? https://t.co/ohbnMQHWw1"
3,website,"3/ Doctor Troller (AKA Andrew Brown) was the founder of a project called @CrocsLeague, which was a complete rug pull. The website from Crocs does not show the team anymore, but the Way Back Machine still shows the team. It also shows Asha Serano, his partner (in crime). https://t.co/jxja8Nc0p6"
4,website,"31/ There was a Facebook group and website by unsatisfied customers of RGT. When Beanie understood that his identity was linked to RGT and that his name was mentioned on these websites, they paid these people off to take the websites down. This happened in the last two weeks. https://t.co/1cZMSdhVIY"
0,sol,"❓❓❓ What solutions does TrustVibes offer? 

✔ Trust Vibes is a decentralized platform. All payments on the platform are done using the #TRUST token. This token is used for the fair distribution of resources and rewards on the platform and to stimulate users of TrustVibe. https://t.co/vxw1sMSGJI"
1,sol,"3/ The NFT was immediately sold after it was transferred. Scammers are abusing the trust that people generally have in the digital space (instilled by Web2), and it's truly sad to see that we are forcing people to become far less trustful towards others because of all these scams https://t.co/kktbDTHaMF"
2,sol,"9/ The digit(al)ization of the world has made physical/country borders less absolute and more fluid (and even non-existent to some extent). You only have to look at the market capitalization of the Big 5: Alphabet (Google), Amazon, Apple, Meta (Facebook) and Microsoft."
3,sol,"Imagine a scenario of huge consolidation where 1 successful/rich NFT project buys up lots of other promising and undervalued NFT projects and then, after a year, decides to sell it all to Meta/Facebook, Microsoft or any VC. From Web 3.0 to REKT 4.0. Welcome to The Metaverse 19.84"
4,sol,"3/ The NFT was immediately sold after it was transferred. Scammers are abusing the trust that people generally have in the digital space (instilled by Web2), and it's truly sad to see that we are forcing people to become far less trustful towards others because of all these scams https://t.co/kktbDTHaMF"
0,nft,"Our co-founder @thisispaff discussing why leadership training needs to have an intersectional lens. 

#diversity #dei #Leadership #diverseleader #nft #web3 #diversityinweb3 https://t.co/vS5yzQk4rj"
1,nft,"ONLY 250 MINTS REMAIN! 😱🦖🌋

🌈 Mint Price: 0.05 ETH (gas saver)
🔥 Floor Price: 0.08 ETH
👉 https://t.co/AibesNcvw9

💎 Fun, family friendly, diverse &amp; inclusive! 🫂
💎 5 x Innovative Utilities! 🗜️
💎 Trademarked &amp; #OpenSeaNFT verified! ✅

#nfts #dinofam #nft #RAWRsome https://t.co/KtBNKlJJoP"
2,nft,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/VmQ9AWUNbb"
3,nft,"Gm Friends
I Repost for new followers
#TheGuardianMuses ❤️093
Proud to promote Diversity🙌

#NFT #NFTs #nftart #nftcollector #art #artist  #OpenSeaNFT
#NFTCollection #NFTCommunity https://t.co/U0cJ55qrF6 via @opensea"
4,nft,"Take a trip to our space cafe, its open 24/7 👀 1/1 NFT in the DIVERSE METAVERSE 🪐

https://t.co/VoZDg0l6vv

#WomeninNFTs #NFT  #NFTs #NFTCommunity   #Metaverse #artist #nftcollectors #trippynft https://t.co/bT1P0S1pHa"
