,Topic,Word,Tweets
0,0,join,"More exciting news!  We are proud to announce 
@Door_NYC charity supports our project!  Tomboy Collection is an #NFT by an #LGBTQ artist for equality and empowerment!  Please join us at https://t.co/dd8WQT950G for our public minting on Apr 9th! #womeninnft #womenincrypto #nftart https://t.co/bcRndGplZQ"
1,0,join,".@serenawilliams has joined NFT fantasy sports platform @Sorare as a board advisor.

Williams will consult with the company on athlete relationships, diversity efforts and expansion into new sports.

➡️ @ChrisSmith813 
https://t.co/68SC2iy538 https://t.co/Z4SNrRntVw"
2,0,join,"🔘 @DogeAdventure_ has partnered with @AibitGlobal — a safe and transparent digital asset derivatives trading platform! 🤝

💥 This partnership aims to jointly conduct PR promotion for Doge Adventure’s #NFT/Gaming launch. 🚀

📰 INFO
https://t.co/hUBd32lUgL
#StartupSpace"
3,0,join,"Piggy Bankers is an exclusive DAO COMMUNITY called the SYNDICATE 🏦🐷🔫

THE ONLY way to join
- BUY on OPENSEA: https://t.co/JbjBWxGEEE
- Buy during Public Mint on 02/07 

IN $BACOIN WE TRUST 🐷🔥

Also ONLY 100 p can join their DAO discord 

#Piggybankers #NFT #NFTs https://t.co/SIeTYxiqNS"
4,0,join,"4 new dogs for the last 4 winners of our last contest. Congrats and thanks to all of you for your love and trust.

Now, what? 
Roadmap is coming and will be release on our discord soon. It's maybe nothing but you should join. @13SIXnft #BadDogsCompany #BDC #NFT #NFTCommunity https://t.co/0Lcq0yvBJw"
0,0,giveaway,@NyndeeKK metamask trust wallet hacked recovery dm instagram twitter tiktok unban tiktok banned on tiktok nft giveaway crypto bitcoin giveaway #nft #giveaway #banned #help #recovery #metamask #Trustwallet https://t.co/82LV5LgKS7
1,0,giveaway,This giveaway is not affiliated with @psychedelic_nft! Just my own initiative because I trust @BAYC2745 and the community ❤️🤝 Always DYOR
2,0,giveaway,"Our next project spotlight &amp; triple giveaway for holders is now live and this week we are shining a light on the awesome @LilDreamerz ♥

Much love to any team that is determined &amp; transparent after having their mint sabotaged by Fudders! 💯👊

ELVEN holders can enter in Discord https://t.co/nZfsmc6TXq"
3,0,giveaway,"🎁 5x Okay Apes Whitelist Giveaway

Okay Apes is a Solana derivative project that focuses on transparency &amp; growth. Join their Discord to find out more about them!

To enter the giveaway retweet, like ,and follow @SolcietyDAO and @OkayApes_NFT 

#Solana #SolanaNFT #SolanaSummer https://t.co/r8TGCM13Ny"
4,0,giveaway,"@Shibaxx1 @Coinbase_NFT @BoredMummyWU diverse community, building a long term project! bringing a lot of value to holders in the short term as well, giveaways, comics by @toonalooney Studios and more!! great time for newcomers to buy in and check out the discord!"
0,0,opensea,"GM frens!!! 

Just TWO pieces left to hit 1 $ETH floor! 😍🔥🚀🙌

In the next couple weeks we’re unveiling the biggest news we have ever released, and trust me, there has never been a better moment to join Los Malandros than right now!

Link in profile 👊🏽

#nftcommunity #opensea https://t.co/0aEuOMYuxH"
1,0,opensea,T-Minus 4 days until Space Commander Mary launches on @opensea 🚀 Originally oil on linen &amp; now brought into the digital world. Her mission: to support women and diversity in STEM 🦾 #NFT #NFTCommmunity @Stemettes https://t.co/Tk2NnXrDnC
2,0,opensea,@opensea @1GunnaGunna Hands down most exciting project of 2022 is @psychedelic_nft! Especially after the massive ALPHA and updates dropped yesterday.  Most hard working / transparent team anyone could ask for.  Definitely worth checking out!
3,0,opensea,"Love Trust Music 0.1 $ETH @opensea 
A statement, or the 3 things that are most important to you? Love yourself, trust your instinct, and have a soundtrack to your life. #OpenSeaNFT #NFT #NFTFAM #NFTs #nftcollectors 
https://t.co/K92fZ5Lp7Y https://t.co/igcSGPHHiV"
4,0,opensea,"Need some #NFT love for my @HPPRSNFT by @shakkablood. Who wants to buy 🐰? Trust me this #NFT is far cooler in look and art than 99% out there. 

🐇🥕

https://t.co/wwyiuqdfuo via @opensea"
0,0,check,@sombrerojak @dtrain22k @fra58804519 @NFTethics you should check out @Frogland_io - take the green pill
1,0,check,I had some money to spend and I was gonna ask you guys for a new coin but I changed my mind and I got some more #Saitama instead 💎I believe that we are going far !!! Tired of being rugged ? come check out $Saita !! I trust 💯 in Saitama #Crypto #ERC20 #nft #Memes #altcoin 🚀🚀
2,0,check,Love this view of how to gut check the varying types of innovation in healthcare. There are big gaps in #equity &amp; #access to get the most milage out of our #wellcare investment. Via @ShwetaManiar at #SXSW2022 #SXSW #futureofhealth #healthinnovation #NFT #blockchain #telemedicine https://t.co/zW8vnILG8c
3,0,check,"#AllThatAndABagOfChips
@Thao_NFT was one of the first creators we connected with. Her work is absolutely stunning, and she blows us away with how well she captures the natural beauty and diversity of women with her work. We are a huge fan, definitely check her out!"
4,0,check,"Requirements to get listed on #Binance? 

- strong developer team 
- useful product
- transparency
- large user base
- entry ticket payed in $BTC

$OMI checks all the marks ☑️. You've been teasing us since 2018, now it's time @cz_binance! 

#ecomi #NFT #veve @DavidYuNZ https://t.co/fF7YOTXeB5"
0,0,nft,Happy Monday everyone! Let’s make the most of this week! #creatureculturecollection #NFT #NFTs #nftart #NFTartist #Ethereum #ETH #positivity #Diversity #inclusion #Culture #celebratedifferences
1,0,nft,Some  #NFT time ago I stumbled upon a drop party &amp; loved the energy &amp; #diversity &amp; #culture representation so much that I bought my very first NFT right then &amp; there 👠⚖️ Love my #cryptollama @psychdre_eth 👠⚖️💕 Thank you for being you 👠⚖️ #nftcommunity #RepresentationMatters https://t.co/xR4OQyhhVv
2,0,nft,"Right now I’m going to give my most un biased opinion. 

@pitcrewnft is honestly the BEST place as a new NFT investor… 

Transparency and communication go hand in hand. 

Please come take a look in cord and ask some questions! Your going to love it here!"
3,0,nft,"1/
98% of nft projects on the market are useless or rug pulls that takes advantage of your trust and offers nothing. 2% are gems and if you find them you should hodl. One of the rarest gems out there is @AgeOfZalmoxis. ⬇️⬇️⬇️ https://t.co/o7UUgAKIZ7"
4,0,nft,"Things I’m manifesting for Q2:

🏳️‍🌈Onboard 1,000 queer POC into #web3
🎙Speak at a #NFT conference on diversity &amp; inclusion
🎓Partner with globally recognised thought leaders with our Curriculum training 
🤝Continue to build a community of Changemakers at @takeupspace_nft"
0,0,family,"Who doesn't love an elephant in a mud bath? She's smiling, she totally is :) 
I'm off to share some time with the elephants this week again. I'm selling elephant #nfts to raise funds for their ethical care. 

#nft #elephant #NaturalBeauty #nftcommunity #NFTfamily"
1,0,family,"Happy Friday fellow NFT family 👋🏽

Have a beautiful &amp; blessed day 💎

3 things; longevity, utility and community. Any project with these 3 is likely to succeed 👏🏽

Personal point, be patient and trust the process 💙

Stay safe all 🤝

#NFT #NFTs #Ethereum #NFTCommunity #MAL"
2,0,family,"Have you seen my new collection of uniquely diverse cats on the Open Sea yet?
I'd love it if you could check out the link and tell me which one you like best)
https://t.co/FNPICw9irx
#NFTs #NFT #opensea #nftcollector #nftcollections #cat #NFTCommunity #NFTfamily https://t.co/xmlFD0BRJ0"
3,0,family,Got my first payout yesterday. Thanks for the trust @NFT_Guru and MTTM family
4,0,family,"@Bubblegum_NFT The community over at @thesevens_7 is top notch! As I return each day I recognize more and more familiar faces. Great team and members with diverse backgrounds to always keep the conversation entertaining. 7/7 would recommend for the family vibes 💜
#WEARETHESEVENS https://t.co/wYOARKNbDW"
0,0,art,"I have minted an NFT that you can bid on. It's a 1x1 transparent png. Bidding starts at .01 ETH

https://t.co/S6R9IuAa56"
1,0,art,"tuned into this wonderful space hosted by @sanchans and feeling privileged to listen to the stories of @YKarkai and @DrifterShoots. bullish on women and BIPOC artists/creators in the NFT space. let’s make the web3 era one full of diversity and equity

https://t.co/SZS86ieyaR"
2,0,art,"After months, I learned about my own NFT consumer behavior. I follow these ones on secondary market before picking up
1. Floor artwork must be amazing. If not, I let it go. 
2. Focus on team, transparency, marketing skills or potential.
3. “What is the singularity of this one?”"
3,0,art,"I’ve went through this world and gained a real connection with these amazing jpeg frens. I will today allow myself to be a vessel for the world. Be encouraged. Stay cloudy. The light will come fr just trust the process. #NFTCommunity #NFTartist #NFTs #NFT 

☁️ @DogeCloudNFT ☁️333 https://t.co/Bvcwg4cF5j"
4,0,art,"@leomon32 To be clear, we really liked the work NFTethics was doing. We may have had different motives, but we both wanted to call out scammers and protect artists."
0,0,new,"@ysiu @apecoin 1 - thank you for this work and level of transparency 🙏
2 - for those thinking it should take shorter, remember this is a new team (and prob only 4-5 devs), from scratch w/ zero infra. I get that adds time ⏲
3 - adding the caps resolves my concerns; I’m in favor 🎉"
1,0,new,"Guerrilla is the new #APE 

https://t.co/9TqAJnmIIU 

#Web3 #NFT #Crypto #Music #P2E #community #Charity #Equality #metaverse #yuga #bayc #mayc #otherside #decentraland #Rapcity https://t.co/GuRKqe0igm"
2,0,new,"Thank you so much @i64StudioNFTs 
🙏
I Love my new #NFTs

My man steady giving out that heat 🔥

Trust me you want to follow him!

Come join the #i64Army 💪
#NFTCommmunity #NFTdrop 
#NFTartist #NFT #nftcollector 
#NFTGiveaway #NFTCollection https://t.co/zppjSeji2S"
3,0,new,"Posted new work on my #instagram 
What I like about #insta is the view of the #photos in one overview. 

It shows the diversity of my #photography and gives the ability to #showcase it nicely by color and theme.

https://t.co/YCPSU4rOcW

#NFTs #NFTPhotography #NFTCommunity https://t.co/VClu7Gc4oW"
4,0,new,"""I have too much of a moral high ground to rob from this person!"" 🤣 

Check out newest Nifty Comedian @GoshCarter's NFT at https://t.co/jJTOA22NnV ! https://t.co/hNleahCEPj"
0,0,thank,Morality is utility. I am so thankful that my first NFT was a @WickedCraniums and we have devs like @WickedDerb and @WickedDoob who stick with the project through thick and thin. #skullsbackskulls
1,0,thank,"Many thanks to @NftAtl1 for their kind invitation to this amazing #NFT conference. As a #tech tool, #NFTs have so many real world applications in our diverse #Cultures and the never ceasing #Entertainment!

@XBEgroup @coinllectibles @marvion_media
#Blockchain #Web3 #Metaverse https://t.co/I4SqbxQ0ON"
2,0,thank,"@tronblack @FowlPunks @binance @bittrex @exodus_io @EdgeWallet @TrustWallet That worked! Genius, thank you very much.
Used mango to access assets from Trust and transferred into raven core. I'll be buying another NFT from @FowlPunks https://t.co/WFljwFFL93"
3,0,thank,"I can't believe my luck ... I just won a:

PSA-9 Pokemon MAGNETON Holo 1999 card.

So lucky to be in this @DeFiRangers  community.
A big thank you to @ChrisRandone the founder of DeFi Rangers who has lead this community with honesty, trust, and transparency. 

#NFTGiveaway #NFT https://t.co/cVDYuw5cgF"
4,0,thank,"second SALE today:
----TO THE MOON----
the great news that another very important member of #proton #community became a holder of our NFT
thank you @DannyCrypto85 for trust in our art 
now we are 3'th place in daily Volume!

$xpr to the moon! https://t.co/k3fzow6etz"
0,0,trust,"and it's super important to spell this out esp re digital/generative art  - 99.9% of my work ends in the digital shredder - artworks i put on sale as analog or NFT no matter, trust me, i checked every fucking pixel https://t.co/FJJGmzyUdo"
1,0,trust,"I still see daily stories about artists loosing everything after accepting to ""draw an nft"".

FFS, stop running all over the metaverse without protection.
! ACT NOW: BUY A LEDGER !

If you don't, then consider EVERYONE as the enemy, don't trust anyone, shoot anything that moves."
2,0,trust,"Expected to talk NFTs and road maps in an NFT community Twitter spaces talk. Instead heard about cute moms, avocados and love of pets. Trust in a “trustless” ecosystem is built in community meetings. Use them to convince us that you are a legit core team."
