,Word,Tweets
0,bullish,"I found a super undervalued #Layer1 Project ⬇️

$LTO aka @TheLTONetwork 💎

MC 87Million 😱
Supply 293 million 🔥

- Trust Networks
- Decentralized Identifiers
- NFT 2.0
- Europe's leading blockchain
- Partnered w United Nations

$KDA $SOL $QRDO $VRA $XPR
#alts #bullish #altcoin https://t.co/E55WpahT0o"
1,bullish,@NFTethics bullish on azuki after reading this 👀
2,bullish,"If you're bullish on Web 3 like me, grab some popcorn and go read this website. Seek to be informed without glamorizing your bias🙌 #web3 #crypto #defi #nft #scams #exploits #rugpulls #bitcoin

 https://t.co/aVlHKovi3P"
3,bullish,"GM NFT FAM 🌞

Trust your potential to step forward, no matter what odds are stacked against you.

Trust yourself to break out of your programming &amp; prove the world wrong.

Trust your will to keep marching ahead.

I'm bullish on all of you, are you bullish on yourself? ✊ https://t.co/tCNnP1MDFG"
4,bullish,Just bought a solstead in @SolportTom  I trust .. also got a top 1000 for 3.5... yall need to realize the value of your NFT #bullish #SolanaNFT
0,best,"A CONVERSATION W/ @okeefe_artist 

co-hosted by the best @dave_krugman and @goku_nft 

trust us you WON’T want to miss this!!

reminder link: https://t.co/xiWWRWL7Qm https://t.co/Y3Qj7qv1Hn"
1,best,This is mi first NFT sold on @withFND at the beginning of 2021. I want to thank all my collectors but especially to @AnestiDhima who was the first one that trust my work. Since then this year become more and more amazing. I wish you all the best for 2022!!! https://t.co/lz4Qz0WtPx
2,best,"My 3rd #DeliriousMindTraveler is #TheAstrologer, who “still believed it was best to only trust what she could see with her very own eyes through her trusty telescope.” This is a 1/1 of 300 limited ed #NFT artwork by @lengjai_eth for @MindTravelerNFT #NFTAsia #NFTHongKong #NFTHK https://t.co/NLvY3vT3UM"
3,best,"If you want to keep investing in #NFTs but you don't trust all those copycats pfps out there anymore, take a look at @wanderers_nft.

One of the best &amp; most legit teams in the #nftspace.
One of the best #NFTcommunity.
One of the best art(s).

https://t.co/of6DST2Ufo"
4,best,"@freshkillspod You’ll start receiving a wage may 1, as soon as I know your service caliber but we actually give quarterly bonuses: you’ll receive .5 btc June 1st if you’re our best volunteer, and by august 1 could receive an NFT worth 1% equity. DM me

we believe min wage harms workers xoxo"
0,transparent,"Hey Nft Family,

I want to share a new project that is dear to my heart. I created @sbananasociety w/ 10 other amazing Apes to redefine, innovate, &amp; propel the NFT culture through transparent fellowship, enjoyment of sports, &amp; giving back to the community. Join The Society! 🍌❤️"
1,transparent,"We have a very transparent&amp;strong team. We have inform of all developments instantly. I can't wait for these developments 🥷. I'm so glad part of this family😍.

#NFT #NFTs #NinjaSquadNFT @ninjasquadnft"
2,transparent,"@themonarch00 I’ll break that comment down.

-I buy NFT
-I’m excited to buy and own and return as an owner
-I simultaneously list NFT for a higher price
-Other person doesn’t want me in the community

I feel like I’ve been increasingly transparent, revealed that I listed, and discussed on here"
3,transparent,"All tiny zoo animals will now come with unlockable content! For each tiny zoo animal you will receive: 

- tiny zoo NFT
- animal with solid background
- animal with transparent background

If you’re a holder already dm for your link!

#tinyverse #NFTs @tinydinosnft https://t.co/sEBr1nHuEW"
4,transparent,"My nft bull case. I can flex on all of China with a 1/10k cryptopunk and if anyone wants to buy it they have to pay my list price of $100 million.

And someone will buy it 😂. Asset class is universal, transparent, and immediately transportable."
0,earn,"Transparency and fairness are key pillars for #DAO success.

This is why #NFT-enabled DAO @wallstreetdads is using #Chainlink VRF to shuffle the NFTs that users mint before their reveal.

Learn how this helps eliminate bias 👇 https://t.co/4InDdRVbDw"
1,earn,"Part of uplifting others is clearing their path of greedy opportunists so that they can focus on their skill and not the scary terrain of the NFT space.

I won’t onboard friends or family to spec beyond Smilesssvrs. It isn’t safe to learn on your own rn sadly. Find people u trust"
